Time_Index,EIC_landbasedwind_class1_moderate_0,EIC_landbasedwind_class1_moderate_1,EIC_landbasedwind_class1_moderate_2,EIC_landbasedwind_class1_moderate_3,EIC_landbasedwind_class1_moderate_4,EIC_landbasedwind_class1_moderate_5,EIC_landbasedwind_class1_moderate_6,EIC_landbasedwind_class1_moderate_7,EIC_landbasedwind_class1_moderate_8,EIC_landbasedwind_class1_moderate_9,TRE_landbasedwind_class1_moderate_0,TRE_landbasedwind_class1_moderate_1,TRE_landbasedwind_class1_moderate_2,TRE_landbasedwind_class1_moderate_3,TRE_landbasedwind_class1_moderate_4,TRE_landbasedwind_class1_moderate_5,TRE_landbasedwind_class1_moderate_6,TRE_landbasedwind_class1_moderate_7,TRE_landbasedwind_class1_moderate_8,TRE_landbasedwind_class1_moderate_9,WECC_landbasedwind_class1_moderate_0,WECC_landbasedwind_class1_moderate_1,WECC_landbasedwind_class1_moderate_2,WECC_landbasedwind_class1_moderate_3,WECC_landbasedwind_class1_moderate_4,WECC_landbasedwind_class1_moderate_5,WECC_landbasedwind_class1_moderate_6,WECC_landbasedwind_class1_moderate_7,WECC_landbasedwind_class1_moderate_8,WECC_landbasedwind_class1_moderate_9
1,0.745,0.855,0.544,0.727,0.461,0.467,0.344,0.497,0.283,0.769,0.895,0.932,0.837,0.82,0.656,0.713,0.706,0.642,0.684,0.538,0.65,0.519,0.429,0.392,0.288,0.681,0.246,0.566,0.292,0.693
2,0.749,0.841,0.521,0.746,0.457,0.485,0.366,0.539,0.281,0.767,0.908,0.932,0.856,0.831,0.662,0.747,0.745,0.665,0.684,0.482,0.638,0.568,0.424,0.377,0.28,0.704,0.236,0.589,0.28,0.686
3,0.709,0.77,0.493,0.708,0.44,0.515,0.346,0.573,0.255,0.734,0.849,0.894,0.732,0.867,0.491,0.786,0.646,0.679,0.581,0.476,0.598,0.522,0.389,0.337,0.268,0.724,0.227,0.685,0.254,0.634
4,0.696,0.757,0.462,0.69,0.424,0.529,0.33,0.535,0.226,0.72,0.754,0.791,0.597,0.815,0.379,0.71,0.608,0.557,0.585,0.629,0.573,0.489,0.389,0.311,0.254,0.736,0.219,0.722,0.234,0.615
5,0.675,0.73,0.453,0.674,0.431,0.505,0.324,0.518,0.195,0.666,0.699,0.71,0.5,0.768,0.313,0.717,0.508,0.678,0.469,0.694,0.573,0.465,0.401,0.308,0.235,0.635,0.203,0.624,0.206,0.536
6,0.707,0.728,0.468,0.67,0.4,0.504,0.309,0.477,0.204,0.657,0.595,0.66,0.426,0.676,0.252,0.655,0.384,0.686,0.424,0.742,0.556,0.465,0.375,0.278,0.223,0.561,0.196,0.652,0.192,0.517
7,0.671,0.72,0.438,0.579,0.394,0.454,0.302,0.411,0.233,0.626,0.482,0.615,0.346,0.58,0.2,0.562,0.309,0.593,0.373,0.749,0.475,0.427,0.336,0.254,0.214,0.447,0.187,0.524,0.187,0.386
8,0.515,0.648,0.346,0.497,0.284,0.324,0.192,0.26,0.157,0.584,0.403,0.57,0.267,0.514,0.124,0.529,0.196,0.71,0.231,0.699,0.401,0.381,0.33,0.218,0.195,0.274,0.165,0.336,0.164,0.31
9,0.26,0.443,0.15,0.286,0.089,0.157,0.069,0.17,0.099,0.445,0.285,0.537,0.147,0.401,0.058,0.356,0.139,0.471,0.147,0.483,0.246,0.363,0.263,0.152,0.175,0.145,0.153,0.202,0.142,0.311
10,0.28,0.419,0.13,0.284,0.047,0.158,0.048,0.205,0.083,0.37,0.367,0.588,0.222,0.392,0.091,0.4,0.171,0.553,0.168,0.581,0.144,0.318,0.165,0.102,0.122,0.121,0.092,0.185,0.097,0.33
11,0.258,0.421,0.145,0.308,0.041,0.207,0.058,0.203,0.08,0.427,0.325,0.437,0.287,0.322,0.183,0.369,0.22,0.468,0.196,0.917,0.173,0.316,0.104,0.077,0.068,0.145,0.049,0.189,0.057,0.269
12,0.188,0.324,0.12,0.24,0.038,0.179,0.04,0.189,0.056,0.345,0.247,0.301,0.257,0.214,0.169,0.213,0.22,0.203,0.203,0.764,0.236,0.3,0.145,0.084,0.065,0.236,0.052,0.266,0.059,0.217
13,0.173,0.262,0.107,0.217,0.028,0.18,0.027,0.175,0.083,0.295,0.258,0.266,0.247,0.208,0.16,0.207,0.187,0.267,0.174,0.479,0.333,0.31,0.183,0.104,0.09,0.336,0.078,0.378,0.083,0.331
14,0.167,0.256,0.111,0.236,0.033,0.185,0.031,0.178,0.052,0.322,0.26,0.24,0.227,0.183,0.163,0.137,0.119,0.127,0.105,0.463,0.49,0.426,0.227,0.14,0.098,0.483,0.089,0.376,0.093,0.42
15,0.199,0.295,0.14,0.25,0.061,0.212,0.052,0.21,0.069,0.364,0.317,0.255,0.341,0.3,0.318,0.287,0.18,0.234,0.135,0.497,0.582,0.524,0.287,0.19,0.129,0.476,0.12,0.359,0.135,0.56
16,0.212,0.313,0.142,0.255,0.087,0.202,0.08,0.219,0.068,0.382,0.317,0.264,0.344,0.303,0.367,0.333,0.222,0.213,0.182,0.488,0.582,0.551,0.332,0.229,0.15,0.525,0.139,0.505,0.165,0.618
17,0.279,0.373,0.184,0.303,0.111,0.256,0.123,0.231,0.099,0.472,0.321,0.236,0.337,0.338,0.391,0.38,0.236,0.289,0.203,0.634,0.614,0.482,0.402,0.312,0.233,0.634,0.198,0.692,0.212,0.752
18,0.281,0.38,0.182,0.274,0.117,0.267,0.135,0.201,0.126,0.456,0.389,0.29,0.447,0.44,0.526,0.538,0.358,0.606,0.211,0.713,0.538,0.538,0.393,0.319,0.253,0.766,0.201,0.788,0.198,0.729
19,0.302,0.434,0.193,0.305,0.139,0.231,0.184,0.183,0.199,0.482,0.412,0.307,0.443,0.443,0.519,0.564,0.394,0.728,0.229,0.794,0.654,0.493,0.448,0.392,0.268,0.749,0.214,0.799,0.225,0.714
