Constraint,CapRes_1,CapRes_2,CapRes_3
t1,1.199230335217409e-8,3.9028799018962206e-8,2.5590282604800477e-8
t2,1.174904342345126e-8,3.299980193109339e-8,2.33395846142448e-8
t3,1.1453243276548998e-8,2.8992554759287673e-8,2.178449239337868e-8
t4,1.1083819892145398e-8,2.7413866384957777e-8,2.0793819240236784e-8
t5,1.0595220110123546e-8,2.7153943155209286e-8,2.020395242727539e-8
t6,9.873248424748349e-9,2.7186378515257796e-8,1.9673017457569384e-8
t7,8.935497621981956e-9,2.9563300742487066e-8,1.9198475581915966e-8
t8,8.23803943043333e-9,2.8746857787060096e-8,1.9828508492793605e-8
t9,7.685360324692181e-9,2.8367754429032852e-8,2.022251709097227e-8
t10,7.207938878857913e-9,2.4383158371718948e-8,1.744925534126134e-8
t11,6.843126079763676e-9,2.5032391638854938e-8,1.629210391340556e-8
t12,7.142116331451746e-9,2.995490026162256e-8,1.0593784134966267e-8
t13,7.728414604962708e-9,3.547016343571042e-8,9.678120522419282e-9
t14,8.507824741804475e-9,4.0264412343540815e-8,8.486947255864877e-9
t15,9.424934025279055e-9,4.329475010375136e-8,7.853545293486248e-9
t16,1.0379329499091291e-8,4.8658803177866906e-8,7.849259699149615e-9
t17,1.0924251588898095e-8,6.804790428292749e-8,8.012563656549993e-9
t18,1.1245622802739e-8,7.91057663040632e-8,1.0955465295335938e-8
t19,1.1700519760707163e-8,7.515329752024244e-8,2.136328419181676e-8
t20,1.2009912326649392e-8,5.7540569310951556e-8,4.0199819969113074e-8
t21,1.216982075419816e-8,4.55767363653285e-8,4.467098563097851e-8
t22,1.2267993213961913e-8,4.301734761565666e-8,3.200433472576754e-8
t23,1.2304806201642367e-8,4.05804108426733e-8,2.692956652752089e-8
t24,1.2198886853736891e-8,3.71221535854323e-8,2.538936814618471e-8
t25,5.464888522337561e-6,8.568828186613259e-5,5.73181508585862e-5
t26,5.350917484889228e-6,1.216110362538597e-5,5.1620240549935e-5
t27,5.221793596810333e-6,8.823704941159083e-6,3.952869507491106e-5
t28,5.0844175135267294e-6,8.20335346239852e-6,1.799575082982728e-5
t29,4.9374188404346695e-6,9.412112048951949e-6,9.245254154977883e-6
t30,4.752890930208597e-6,1.230237050888388e-5,6.546441122628461e-6
t31,4.50829919785332e-6,1.7709600841163935e-5,5.223371129939596e-6
t32,4.321864998046987e-6,2.655101351250974e-5,5.178721546107287e-6
t33,4.222585101993685e-6,2.0849795431371638e-5,4.507775281688799e-6
t34,4.141596173373177e-6,2.6577922581362963e-5,4.306617114403692e-6
t35,4.080515840250531e-6,6.167984286462331e-5,4.2937765811367255e-6
t36,4.158679265032717e-6,0.0003416625948030618,3.6704891063953373e-6
t37,4.360877962770748e-6,0.009434976367652628,3.9007069944235e-6
t38,4.601870632061507e-6,0.08601782424820625,4.168130471264362e-6
t39,4.836703587876487e-6,0.0865854675776534,4.517013138416991e-6
t40,5.045649663968645e-6,0.08678728294468369,4.888369753202636e-6
t41,5.149610468153104e-6,0.08683611721629897,6.029686919780439e-6
t42,5.325537577615192e-6,0.08681975946282383,9.383101934283308e-6
t43,5.472303100572467e-6,0.08694809467992104,2.6128600176201995e-5
t44,5.548045122332095e-6,0.08693543149674832,6.362418401010991e-5
t45,5.6105138703795525e-6,0.0867961860907625,8.334710279867832e-5
t46,5.636699860939921e-6,0.08679610773677399,0.00010298241703960272
t47,5.621749021377233e-6,0.08676359487393986,9.23300505999993e-5
t48,5.567211869486923e-6,0.08671325072773584,6.934925575881437e-5
t49,2.04828884226357e-6,3671.9835640070714,0.00015841770124796876
t50,2.0382352322868063e-6,3671.983531663878,0.00012363373122647976
t51,2.019176916738096e-6,3671.9833911145647,5.805536635805332e-5
t52,1.9914733095079343e-6,3671.9822634191346,1.3761861512828422e-5
