Constraint,CapRes_1,CapRes_2,CapRes_3
t53,1.9559314991274914e-6,3671.9750258328095,7.129811375284945e-6
t54,1.8867390728303112e-6,0.00109315807883689,5.664291794662928e-6
t55,1.7716678874658753e-6,0.00045691597262775504,4.868429337025101e-6
t56,1.5591558301927029e-6,0.00023845291917062384,4.53465137193738e-6
t57,1.3737851871332883e-6,7.850956436769498e-5,4.384649711708293e-6
t58,1.211736175514272e-6,1.2522944539438118e-5,3.899196690787307e-6
t59,1.065653387040729e-6,8.004140494465986e-6,3.516913278663298e-6
t60,9.984776400502562e-7,8.241379304900583e-6,2.50344203258746e-6
t61,1.0356488380239331e-6,8.829269941449774e-6,2.5160152661874004e-6
t62,1.1520514949317218e-6,9.280010858257211e-6,3.121452195527262e-6
t63,1.3576210921750353e-6,9.501058017511127e-6,3.606351164723518e-6
t64,1.5773379589683043e-6,9.692878264558987e-6,3.695955320562499e-6
t65,1.7133633397653575e-6,1.0324430491317119e-5,4.884828216555494e-6
t66,1.7882820621414984e-6,1.6583571285568534e-5,9.340035900534683e-6
t67,1.892975882822728e-6,0.00013006292092836174,4.1758137807491956e-5
t68,1.9618897214940253e-6,3671.9836251247198,0.00017510313939834293
t69,2.0099559353218015e-6,3671.9843174813777,0.0008178050403594957
t70,2.0323131887066686e-6,3671.983809855474,0.0008861359446875805
t71,2.042661998518625e-6,3671.9836072963985,0.0008591014454297184
t72,2.0370936544904105e-6,3671.983583371139,0.0006723084246353043
t73,9.070227054982732e-9,2.7074536459615748e-8,5.170934140544768e-8
t74,9.058779592931485e-9,2.615156457436023e-8,4.8053679676999356e-8
t75,8.956686955110678e-9,2.4738522711427946e-8,4.697386428410153e-8
t76,8.84988034088248e-9,2.4297032100431316e-8,4.703515536739442e-8
t77,8.683805996256476e-9,2.456615626513429e-8,4.134630687834975e-8
t78,8.33142087618437e-9,2.4179150422733976e-8,3.319571047841146e-8
t79,8.37866285508981e-9,2.4481721330774357e-8,3.277484531745297e-8
t80,6.247973680072592e-9,2.502527733098279e-8,3.2006175593750404e-8
t81,4.658092264789946e-9,2.552109433620353e-8,3.277933632358044e-8
t82,5.694121180948305e-9,1.854079141915066e-8,3.367144378581117e-8
t83,3.3033141057098916e-9,1.6834498664340223e-8,2.4261919727299248e-8
t84,3.200082295019147e-9,1.5625339095013732e-8,1.7498158857846514e-8
t85,3.501836890677915e-9,1.5923085057121742e-8,1.5960806317317747e-8
t86,3.585561166165233e-9,1.6855630113965815e-8,1.834667534628311e-8
t87,3.6433265194781428e-9,1.756130752609044e-8,1.936792408959039e-8
t88,4.133106572828857e-9,1.9900839627395073e-8,1.8471994243166198e-8
t89,5.40598804631981e-9,2.4836775902808472e-8,1.9958188171589922e-8
t90,7.139855043574476e-9,2.8288265295219894e-8,2.878187698470519e-8
t91,8.174342923033133e-9,3.414192489414182e-8,5.2893797303147125e-8
t92,8.600803849666504e-9,4.1855403781214516e-8,6.348637105056272e-8
t93,8.824210250573657e-9,4.1877585378160906e-8,6.427244213993898e-8
t94,9.014595009134956e-9,3.709528036680398e-8,7.106144712775185e-8
t95,9.072626552356799e-9,3.425765885511901e-8,6.930195737814613e-8
t96,9.00243916767294e-9,3.22880325661728e-8,6.160207726922006e-8
t97,3048.8898880588326,9.223847663117822e-6,4046.7829415517367
t98,3048.8898868461233,8.533879852443495e-6,4046.782925855736
t99,3048.8898857058016,8.38354343737857e-6,4046.782912761448
t100,3048.8898848405647,8.089773171206725e-6,4046.782904729274
t101,3048.8898850698697,8.2080635411507e-6,4046.7828996578482
t102,3048.889884517078,8.330482325793102e-6,4046.7828921463197
t103,3048.8898872293153,9.061118734988421e-6,4046.782884170439
t104,3048.889888383785,23837.270729543896,4046.7829076380963
t105,2580.5804130077076,1.4274140171274211e-5,4046.7828533703887
t106,2580.5804060421633,1.9055711360615947e-5,4046.782802876616
t107,2580.5804062143643,1.281340584581064e-5,3425.197048393151
t108,2580.5804063983,1.0606833234324101e-5,1.608566410989863e-5
t109,2580.58040651022,9.924260910897984e-6,9.108629672206853e-6
t110,2580.5804064611893,1.013960982596605e-5,1.0503042951750234e-5
t111,2580.58040637759,1.0751416468716778e-5,1.1881609650476874e-5
t112,2580.5804084411466,1.0578854187441848e-5,1.087554695058589e-5
t113,3048.8898851285862,1.160802483683753e-5,2.7448571122172787e-5
t114,3048.8898911541714,2.6701055117668026e-5,3425.1967253863145
t115,3048.889891750816,0.00025003191379642487,4046.7827844033036
t116,3048.8898909729596,1.1670516096369208e-5,4046.782797105643
t117,3048.8898906315144,1.117695988100298e-5,4046.7828739505408
t118,3048.889890285572,1.0731109183090143e-5,4046.782891061393
t119,3048.889889626231,1.008178968892234e-5,4046.782896176865
t120,3048.88988872271,9.526004251945282e-6,4046.7828986391237
