Zone,1,2,3
t1,12.814922389574466,25.116589223105617,14.081541019316742
t2,12.814922388417543,4.771452776992371e-5,14.081540975557823
t3,12.81492238734644,4.7490093725999476e-5,14.081540966872751
t4,12.814922385892935,4.754121279035442e-5,14.081540942216948
t5,12.814922383907561,4.7938278971194826e-5,14.08154088022896
t6,12.814922380469882,0.3272642113750063,14.081540799507977
t7,12.814922337425578,12.009371553877166,14.081540740756417
t8,10.569590303973788,0.32727974207055865,14.081540590498257
t9,10.569590295777756,2.0998710106378362e-6,14.08154008253722
t10,10.569590291405762,3.17617213914025e-7,10.560530370638805
t11,10.56959028702211,2.9673248247599206e-7,2.409679344970219e-7
t12,10.5695902843761,6.019326548293541e-7,-2.628976444688557e-7
t13,10.5695902851522,1.1770135977206196e-6,-5.684439857137949e-7
t14,10.56959028826265,2.5456360657160013e-6,-5.971539680709399e-7
t15,10.569590291851764,3.0186149356804612e-6,-5.861616659415269e-7
t16,10.569590297276752,5.3228782752270925e-6,-5.314658926451833e-7
t17,10.569590374123624,43.17076945923282,-2.7553939764475097e-7
t18,12.814922377759537,43.170775474212995,-1.66191675126906e-8
t19,12.814922387636463,43.17077690669348,1.8358040731747115e-7
t20,12.814922391032008,43.1707771462174,10.560534895506295
t21,12.814922392083792,56.24008693924635,14.08154079690323
t22,12.814922392326038,56.2400908911515,14.081540871583385
t23,12.814922392047027,56.240089257145385,14.081540886617566
t24,12.814922391428576,43.17077709325708,14.081540900526091
t25,1999.9999985962113,1999.9999965129855,1999.999996264301
t26,1999.9999983999023,1999.9999833292898,1999.999996866685
t27,1999.9999982134184,1999.9999551289213,1999.9999970900801
t28,1999.999998071762,1999.9999539152834,1999.9999958299372
t29,1999.9999979296201,1999.9999815449592,1999.999991721818
t30,1999.9999975181272,1999.999991581923,1999.9999837047715
t31,1999.999994776648,1999.9999956419897,1999.9999443751194
t32,1692.5230515109174,1999.9999965020718,1999.9998699486441
t33,1692.5230373880065,1999.9999918092938,1999.992130070608
t34,1692.5230364403637,1999.9999910473355,0.0030990381988285024
t35,1692.5230356834352,1999.9999926797673,9.404824116268141e-5
t36,1692.523035217669,1999.9999935252563,3.8502258996878365e-6
t37,1692.5230352855367,1999.9999932805106,-2.1500231051628114e-5
t38,1692.523035737291,1999.9999926449725,-2.4897357133438642e-5
t39,1692.5230364253728,1999.9999921874446,-1.953480625171687e-5
t40,1692.5230384451852,1999.9999920815023,7.961318580677085e-8
t41,1999.999981937261,1999.9999920463022,5.319840472242345e-5
t42,1999.999996771929,1999.9999905170732,0.0027304725463172513
t43,1999.999998118491,1999.9999919016434,1999.9997648970732
t44,1999.9999986209527,1999.9999934356126,1999.999986719533
t45,1999.9999988233455,1999.999994531261,1999.9999925993006
t46,1999.9999988831573,1999.999995844513,1999.9999955596495
t47,1999.9999988648449,1999.9999967487722,1999.9999967482925
t48,1999.9999988344691,1999.9999982178972,1999.9999964888198
t49,1799.9998927543631,2000.0000056060082,1999.9999963854468
t50,1799.9998926628036,2000.0000113121766,1999.9999963691482
t51,1799.999892579846,2000.0000200771783,1999.9999944861183
t52,1799.9998924116642,2000.0000236044114,1999.9999890314166
t53,1799.9998921279685,2000.0000279369756,1999.9999568999342
t54,1799.9998918515425,2000.0000253246205,1999.99988161646
t55,1799.9998912087979,2000.000021046043,1999.999731777676
t56,1799.9998723967108,2000.0000174643376,1999.999478557091
t57,1523.24294708381,2000.0000077891127,1999.9988712184327
t58,1523.2429457743322,1999.9999912000478,947.6190735810775
t59,1523.2429447446834,1999.9998985538227,6.094623961142942e-5
