Resource,Zone,Resource_Type,Cluster,StartCapSolar,RetCapSolar,NewCapSolar,EndCapSolar,StartCapWind,RetCapWind,NewCapWind,EndCapWind,StartCapDC,RetCapDC,NewCapDC,EndCapDC,StartCapGrid,RetCapGrid,NewCapGrid,EndCapGrid,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeDCCap,RetChargeDCCap,NewChargeDCCap,EndChargeDCCap,StartChargeACCap,RetChargeACCap,NewChargeACCap,EndChargeACCap,StartDischargeDCCap,RetDischargeDCCap,NewDischargeDCCap,EndDischargeDCCap,StartDischargeACCap,RetDischargeACCap,NewDischargeACCap,EndDischargeACCap
EIC_storage_metalair_advanced_0,1,Storage_MetalAir_Advanced,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,997.4179048631239,997.4179048631239,0.0,0.0,1045.5435136643928,1045.5435136643928,0.0,0.0,124998.69495766074,124998.69495766074,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
EIC_landbasedwind_class1_moderate_0,1,LandbasedWind_Class1_Moderate_,0,0,0.0,0.0,0.0,0,0.0,0.041756334355877944,0.041756334355877944,0,0.0,5.83637728926375,5.83637728926375,0.0,0.0,5.9945103449933175,5.9945103449933175,0.0,0.0,628.6555367188616,628.6555367188616,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
EIC_landbasedwind_class1_moderate_1,1,LandbasedWind_Class1_Moderate_,1,0,0.0,0.0,0.0,0,0.0,0.03252718278249051,0.03252718278249051,0,0.0,5.289007473094944,5.289007473094944,0.0,0.0,5.367526670718053,5.367526670718053,0.0,0.0,564.1759785653401,564.1759785653401,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
EIC_landbasedwind_class1_moderate_2,1,LandbasedWind_Class1_Moderate_,2,0,0.0,0.0,0.0,0,0.0,0.03681400337202592,0.03681400337202592,0,0.0,5.258776025976679,5.258776025976679,0.0,0.0,5.324469492819163,5.324469492819163,0.0,0.0,560.6501657580787,560.6501657580787,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
EIC_landbasedwind_class1_moderate_3,1,LandbasedWind_Class1_Moderate_,3,0,0.0,0.0,0.0,0,0.0,0.04329193170641047,0.04329193170641047,0,0.0,4.365156195613178,4.365156195613178,0.0,0.0,4.031054416030672,4.031054416030672,0.0,0.0,447.2698715370832,447.2698715370832,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
EIC_landbasedwind_class1_moderate_4,1,LandbasedWind_Class1_Moderate_,4,0,0.0,0.0,0.0,0,0.0,0.031337265886849645,0.031337265886849645,0,0.0,5.387245636420425,5.387245636420425,0.0,0.0,5.493126401550583,5.493126401550583,0.0,0.0,575.5944293595562,575.5944293595562,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
EIC_landbasedwind_class1_moderate_5,1,LandbasedWind_Class1_Moderate_,5,0,0.0,0.0,0.0,0,0.0,0.04901219211417004,0.04901219211417004,0,0.0,4.346989026271535,4.346989026271535,0.0,0.0,4.004175446801443,4.004175446801443,0.0,0.0,444.60802259134584,444.60802259134584,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
EIC_landbasedwind_class1_moderate_6,1,LandbasedWind_Class1_Moderate_,6,0,0.0,0.0,0.0,0,0.0,0.032558588481708936,0.032558588481708936,0,0.0,4.740922594545473,4.740922594545473,0.0,0.0,4.585713094332282,4.585713094332282,0.0,0.0,499.67575226546114,499.67575226546114,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
EIC_landbasedwind_class1_moderate_7,1,LandbasedWind_Class1_Moderate_,7,0,0.0,0.0,0.0,0,0.0,0.03816260854159155,0.03816260854159155,0,0.0,3.886602610354519,3.886602610354519,0.0,0.0,3.3508451440215996,3.3508451440215996,0.0,0.0,373.95365683107303,373.95365683107303,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
EIC_landbasedwind_class1_moderate_8,1,LandbasedWind_Class1_Moderate_,8,0,0.0,0.0,0.0,0,0.0,0.035099986009288965,0.035099986009288965,0,0.0,4.142744602320548,4.142744602320548,0.0,0.0,3.7136848154781466,3.7136848154781466,0.0,0.0,414.0781328069704,414.0781328069704,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
