BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,4.941268388780642e9,1.7452424763439753e9,-2.0654550685808303e9,6.042912624265803e8,-6.042912624248357e8,2.0119197678632033e6,6.022387798682176e6,-3.061962858909063e6,-1.1250105512659017e6,-4.624903131e9,6.866745928893061e8,4.886313042867249e6,-6.026513418190454e6,9.091520685625133e7,-9.09152068545035e7,380912.7561395668,1.3027448050759437e6,-10686.601636793532,-317176.4286100718,-6.86890187e8,1.3781535800705929e9,6.915033645478252e7,-8.423577690247843e7,2.1300417681926462e8,-2.1300417681748918e8,567933.6439014579,1.6748224410686304e6,3.0726494605458598e6,-807834.1226558296,-1.367575711e9
t1,213062.2667782473,276026.700048405,-0.08243480611359387,27304.758187440377,-69136.56796002103,0.00010642677823819859,1.0201450261042783e-5,-1230.1518899709397,-39.92283971038184,-445987.0,90482.56983198102,0.012022345225465237,-0.013725564139715648,6518.197325145362,-27956.84440687596,9.842998244349405e-5,1.0527738599186731e-5,1229.9921767421165,-39.913327913177,-70234.0,133479.27694009143,16513.2295701529,-0.04996968249357844,20635.062077536422,-8945.66892757828,0.00010262998016446817,1.0621698528359398e-5,0.15971322882329425,-0.009511797204835791,-161682.0
t2,211298.7791562042,241717.97179244916,-0.08125630170570583,19239.978269038136,-54608.55757513901,0.00010603945886176772,1.0209080943389176e-5,1229.8323554298195,-39.9228516616,-418838.0,89667.07006708045,0.006168317912335965,-3993.3295142915617,3196.852313153985,-21892.693991954417,9.354514142952932e-5,1.0425730802252485e-5,-1229.9917946494722,-39.91334688796542,-65708.0,130686.87893125051,15375.238749070306,-0.04979736084840945,14094.092126647072,-13252.310051623745,0.00010193270787232262,1.0623296845070956e-5,0.15943921965275934,-0.00950477363458202,-146904.0
t3,197828.38813141908,228133.328128764,-0.08196300089039324,14917.907354746621,-42344.452472332414,0.00010569491221166811,1.020976855160795e-5,1229.833546449547,-39.92283556801975,-399725.0,82316.35011507261,0.13216133016341708,-3127.707935987864,2403.2943405695455,-17652.16301326367,9.326966497168803e-5,1.0412907238156885e-5,-1229.9924085847342,-39.91335803392061,-62670.0,124454.4624891505,15599.49253294875,-0.049772119670375634,9888.284467118201,-14230.339208719744,0.00010137679458857664,1.0618049650740461e-5,0.15886213518728964,-0.009477534099138417,-135712.0
t4,195667.9930114379,213060.54930917078,-0.08166728273970202,12785.972752343409,-31632.344754285787,0.0001055213160497777,1.0211893831923693e-5,1229.8340540911665,-39.92281508025031,-391072.0,71695.06145820057,0.13518666578312502,-2535.531567308726,1925.0807014590969,-9351.840097824532,9.300693460775598e-5,1.0403467099897534e-5,-1229.9924216817308,-39.91335805972486,-60463.0,120497.47540723423,15596.468578399414,-0.04973097317506725,6280.575921601125,-14759.619193603467,0.00010090893234644953,1.0610775408474292e-5,0.15836759056434702,-0.009457020525455988,-127615.0
t5,189836.06071233528,208571.48568104877,-0.08315459145081415,11342.12318685669,-22950.498447375045,0.00010517771680595967,1.0188652359718796e-5,1229.83470759333,-39.92279510891839,-387989.0,66317.80789793105,0.1357522346201969,-1668.3556878214763,1826.603135002691,-5146.285458103263,9.272218856942993e-5,1.0360459515543135e-5,-1229.9923800894155,-39.913357494108,-60060.0,119274.75268956428,14859.150534107246,-0.04997102347083508,4692.977732567839,-16765.979326174373,0.0001003719275233643,1.0564990987735393e-5,0.15767249608550443,-0.009437614810394259,-122061.0
t6,228817.6913388186,160165.735200653,-0.080449231123173,16551.43927929426,-13245.696857953619,0.00010590105443331613,1.0250576788036922e-5,1229.8341827578647,-39.922804249913575,-393479.0,60398.740701373456,119.34075736367187,-105.21743662396167,1936.6205698932374,-1046.579351712075,9.292058194592846e-5,1.0446714136779471e-5,-1229.991986763211,-39.91335266541285,-60033.0,116682.18070452509,14432.769903239485,-0.04925187841377735,3390.6735855517854,-15722.723400371127,0.00010065301707371458,1.0633820200531641e-5,0.15780400534621378,-0.009451584500720454,-118783.0
t7,362878.2968647273,20927.37006465878,-0.07850117055789321,35806.23777018489,-7118.785920458665,0.00010576930003063038,1.0297264488989126e-5,729.6521686801555,-23.692557215800896,-413199.0,53735.22056710218,4993.783558102811,-104.9885309420241,2946.484429032248,-0.009883447409661256,9.533920135797796e-5,1.0502024484498578e-5,-729.8070420583405,-23.683199486517452,-60817.0,108256.36271338206,15306.052037309002,-0.04902909770850147,3446.4444392676387,-9308.9557830339,0.00010045556885664568,1.0625713718532008e-5,0.1548733781850105,-0.009357729283443545,-117700.0
t8,598122.3869664334,0.07364077850563291,-126864.34447252528,47138.558716465195,-58922.43539117277,0.00010633404266348444,1.0340475103019154e-5,-1514.9418910959089,-177.29768022734498,-457782.0,55517.85635476303,3788.623426791415,-105.14766121755552,5756.767544815618,-206.19661984123243,9.327986575228755e-5,1.0431472650347902e-5,-1229.9898925593352,-39.91325244631106,-63482.0,102217.47672710216,15303.709497750902,-0.049620921057758574,4169.468282875561,-6286.15234891367,0.00010030773494601426,1.0614636972580464e-5,2744.931783655244,-137.3844277810339,-118012.0
t9,849277.657870568,0.0823913111154149,-349203.54280972487,61526.74389526808,-49341.68202475113,0.00010704462723991528,1.0348228750627766e-5,-1514.9605323587214,-177.29890260141562,-510567.0,71448.96316504123,0.13624138399353344,-2966.6077824826243,8646.662248424323,-4093.2490945678364,9.393757896580845e-5,1.0408120224432829e-5,-1229.991532976804,-39.913345105356505,-71766.0,100573.0859196894,14204.822925086653,-0.04274720937635952,9500.611002278838,-3683.0437139913524,0.00010059372164807874,1.0605494182314718e-5,2744.9520653355253,-137.3855574960591,-123203.0
t10,1.11604867694114e6,0.08681683446982072,-571907.7016767618,63482.99892778904,-55701.71293599403,0.0001084851320863294,1.041186640928864e-5,1231.6505198611437,-39.99870620777561,-553114.0,87807.74175484698,0.13430381269160915,-3227.918548798422,8169.644794219443,-12751.69709008901,9.441841777131937e-5,1.0389286752708069e-5,-1229.9919671370944,-39.9133468076116,-78728.0,123895.93021325633,0.1268852563426498,-3493.697415454211,18235.568182140454,-5147.184058849422,0.00010020652710026392,1.0573647090209402e-5,-1.6585527240491855,-0.08535940016401197,-133489.0
t11,1.3019478021626582e6,0.06139786163468375,-718844.9765070232,68467.06076791039,-59073.63092860476,0.00010965458296826911,1.0411193600423313e-5,3974.983318197035,-177.30032522097366,-596294.0,94473.8695094696,0.14141641416885123,-2571.060274931234,7925.54285119115,-14765.5882491655,9.47655793547673e-5,1.0461010141295158e-5,-1229.9920045260933,-39.913348905449475,-83793.0,157473.91524911846,0.02097768190206737,-25178.800963234204,23340.454586436284,-8750.211663938626,9.881498534347627e-5,1.0543116373972222e-5,-2744.9913136709415,-137.38697631552418,-144003.0
t12,1.4042438813397388e6,0.06216764006438973,-766115.1703406424,79456.86229226456,-77275.31837366501,0.0001098105530592253,1.0399551831703857e-5,3974.9831210166644,-177.30032122948253,-644108.0,94628.35314646532,0.13480345699444318,-1915.8394153143167,9374.815544315157,-11432.558809499422,9.51687115243777e-5,1.0459592492789778e-5,-1229.9920196249404,-39.913350770388085,-89385.0,164007.74535075037,0.16719970846980584,-25251.476612953047,22992.820546538267,-9106.87851577652,9.882125560191257e-5,1.0527444673924282e-5,-2744.991101391724,-137.38697045909444,-149760.0
