BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t13,1.431494914639097e6,0.06067669617253115,-750944.1388348948,91028.14150371696,-91280.66110895338,0.00010991419437859805,1.035307465328964e-5,3974.9833403088314,-177.300330447995,-684096.0,100278.32506653952,0.1407378386108917,-1216.3778172225982,11368.100726331777,-13059.283416420983,9.528011916919252e-5,1.0432269572612386e-5,-1229.992044955973,-39.91335319500881,-96101.0,191355.08391126135,0.17759076589627323,-25372.939444772972,18903.139844620222,-27889.083732631894,9.884851844072199e-5,1.0506213753675656e-5,-2744.9912953528583,-137.38697725298618,-154114.0
t14,1.3747959124952038e6,0.06418409252310492,-673202.5528942446,96471.28027078955,-97867.387559419,0.00011153122679732362,1.0418610862375856e-5,3974.983726675866,-177.30033891388308,-703995.0,101159.6992422745,0.14253348292859308,-630.9166464667624,13263.532034172076,-11839.551557799852,9.562138806011675e-5,1.0428762496923508e-5,-1229.9923464108942,-39.9133607354057,-100683.0,209654.22847535284,0.18231333785722015,-25251.45249581957,20885.666270145826,-39940.24630825295,9.905974854124094e-5,1.049844791631967e-5,-2744.9913802649717,-137.38697817847736,-162466.0
t15,1.2517214740080142e6,0.07834999291999874,-513018.4159682485,99449.46501492588,-124111.285015421,0.00011078751833072895,1.0386968001958294e-5,3974.9838363478057,-177.30034107985213,-717839.0,108080.04246564185,0.13924582672125818,-722.425738907511,13279.876174112203,-16714.726456231954,9.568961687403536e-5,1.0419066483132359e-5,-1229.9924289341373,-39.91336278563596,-102653.0,218239.67790027813,0.1840699296443755,-25188.090724527246,24380.505243908745,-43638.89820767481,9.938474877862119e-5,1.0486835123255994e-5,-2744.991407413668,-137.38697829421616,-170911.0
t16,1.0651637511214034e6,0.08707278877449544,-260074.43680381088,116998.74532690908,-177277.83105223882,0.00011126193320848799,1.0316244984949212e-5,3974.984571574074,-177.30035244543336,-748608.0,109124.13208428978,0.13679692799947485,-574.3654949049762,15139.544081949622,-17503.54119014826,9.541607511455306e-5,1.0420102805203564e-5,-1229.9930067720397,-39.91337222942683,-104916.0,216048.1057754683,0.18776643900537615,-25039.664614247227,27003.253348171245,-38953.50383480972,9.967926049134077e-5,1.0507942827607612e-5,-2744.991564802034,-137.38698021600655,-176176.0
t17,836344.288782675,0.1012854561884105,-13363.371532204083,150564.58530325003,-186973.299037337,0.00011163991681979315,1.0354722881660633e-5,1514.9954783123421,-177.30039599085373,-787910.0,108193.52838383897,81.68901269739278,-0.012758843532083763,19803.67751665218,-18948.965017650593,0.00010417574906055326,1.0630683492824448e-5,1229.9961678722348,-39.91341423425641,-110320.0,207590.2624620355,0.18749376188304853,-24498.77964803679,29326.71684582105,-30106.008629332882,9.974964475244778e-5,1.0475809741546226e-5,-2744.991646184577,-137.38698175659732,-179430.0
t18,568420.5394431993,115266.57620623766,-0.06158140939479266,204894.27182033722,-81582.0223675046,0.00011161256447657204,1.024177509911874e-5,1514.996790627077,-177.30042735594373,-808337.0,113470.79698406403,82.96790533476401,-0.016305918747847575,24620.69188796953,-22772.5232968395,0.00010471171596914345,1.0622179813758063e-5,1229.996123553334,-39.91340848168075,-116592.0,214487.3896732039,0.1882359658706671,-23129.53458961177,34779.22933027416,-34483.892820805915,0.00010005875698734193,1.0473959694436356e-5,-2744.992914180411,-137.38701887426296,-188771.0
t19,321139.600386708,334334.19741901505,-0.07272430412007833,183310.1496057634,-78032.570632149,0.00011162008273101695,1.023171858744437e-5,1514.996258529985,-177.30042977309049,-762089.0,105787.56303936568,83.17077968325103,-0.021359168902711063,29547.016735334306,-17594.812356867937,0.00010501559657258788,1.0613217612184096e-5,1229.9964679491495,-39.91341682564982,-119013.0,238576.28902054098,0.17319636130749946,-21906.93967049249,44451.8632910145,-53017.00620273299,0.00010093228784870664,1.0478622143145654e-5,-2744.9927264791345,-137.38701294744067,-205222.0
t20,147923.68662352004,472843.48696875584,-0.07916135465696196,121870.82242283337,-79951.56636758392,0.00011046096237200944,1.0246799514057188e-5,1514.9479250869015,-177.29852683348267,-664024.0,90994.7157607746,83.1342212733694,-0.03548778331879469,28514.26561226229,-11468.16330724752,0.00010447997625424337,1.0623370458283648e-5,1229.9965081932548,-39.91341798595433,-109314.0,223535.70756371788,0.09356661949915356,-1132.7763943399036,57213.77499408767,-56938.470295226376,0.00010346941621156301,1.0536088529411368e-5,-2744.9444332801563,-137.38510884752833,-219796.0
t21,106675.31652728516,482133.5753616121,-0.07785177423425761,85403.03914255352,-73046.77315406218,0.00010942443571360929,1.0227353105245925e-5,-1230.1571907812147,-39.922949065548835,-599895.0,73751.25147083352,2742.6126405673967,-0.008719040790140764,18942.849044392748,-2320.788468120998,0.00010686811993361387,1.0703741317247743e-5,1229.9973540137025,-39.91343544287759,-94306.0,181762.7256428129,12209.314312916085,-0.048255452198046396,62046.972147973036,-35564.11427991746,0.00010455211898303951,1.0568685268345516e-5,0.15983676751223277,-0.009513622671245163,-220455.0
t22,111297.79442226102,463467.9878882388,-0.07785023984633561,68547.38394170659,-76705.00722581832,0.00010848644998687685,1.0210691542212784e-5,-1230.1582857386054,-39.92300398213819,-565338.0,68456.04502639592,4391.899114177083,-0.008840624760934848,14279.560747349356,-455.58006346026116,0.00010630709385794663,1.0673437313110479e-5,1229.9973390099224,-39.913435253666115,-87862.0,154849.6740811773,12554.045830863026,-0.04910975940736017,46550.82553724025,-20427.64782541642,0.00010360548396460761,1.0589074867505643e-5,0.16094672868293966,-0.009568728472077532,-193527.0
t23,129532.35880225027,422536.4390864079,-0.07844426855692374,52003.84304469513,-79109.48444878342,0.00010757756895289671,1.0203018747186231e-5,-1230.1552710956983,-39.9228819131916,-523693.0,65244.522620146075,4498.445598014085,-0.007219045119109119,11598.278610937534,-732.3235651260661,0.00010552271513251765,1.0625205510302187e-5,1229.9972774430637,-39.91343394468725,-81799.0,151472.70143058474,11724.339987509973,-0.049682940399713924,27714.57051273745,-23949.71090008142,0.00010259478297468513,1.0562908699402411e-5,0.1579936526344615,-0.009447968504355425,-166962.0
t24,150617.15994854452,376154.79760687624,-0.07971840993057419,38998.08407652209,-80270.88125779925,0.0001065644072322304,1.0186558359579472e-5,-1230.1577610938818,-39.92300617594397,-484229.0,75457.01837841241,82.90057591653722,-0.00795963750295833,8609.717701998063,-9887.711903631076,0.00010211926763836758,1.055342392234321e-5,1229.9965171747797,-39.91341834381,-75452.0,148910.86817643038,11639.931054370214,-0.04991228777240692,22630.838255923572,-25686.739338191335,0.00010215324569806328,1.0597755352849503e-5,0.16124391910212832,-0.00958783213396554,-157495.0
t25,153244.15976748097,213622.93792377846,-0.10460028966112726,28725.822609465402,-72292.39529193203,30921.58534137985,107295.00616983336,-0.006351792427526967,-0.005562223698807934,-461517.0,67165.5262653663,105.05892990542344,-0.08496203096907126,5221.229955212841,-31668.758740871224,4765.195790350728,25534.832870359343,0.0026139596274455876,-0.0027180778643700098,-71123.0,117018.90456245217,13187.273229279028,-0.08333266680138612,20358.839236427615,-40784.59806531548,10716.870976487935,39456.79250586728,0.0037378328000813796,-0.0028441458344379243,-159954.0
t26,161658.29459493884,178010.1709120142,-0.10783866022229044,20099.067159868016,-57122.89181325068,29036.338976792118,101698.13813777838,-0.004568938988461734,-0.00555481248032952,-433379.0,66538.04678046539,105.05519604400381,-0.0852765509499587,3387.7054393747376,-18676.423622515387,4422.891460418492,10236.811371241967,0.001365339846070672,-0.002710040864284206,-66014.0,115592.95032551102,13571.446981799885,-0.08359712140450917,14235.662511755869,-49228.92179474996,9697.800726605945,40875.144493589316,0.003203599142391062,-0.0028447716160453144,-144744.0
t27,160756.29567674262,157795.84201923723,-0.10957238228121297,15939.712451290536,-44539.53000549836,27766.956708983704,96713.84199846436,-0.003726577389554942,-0.005544617234201958,-414433.0,65189.82542829971,105.05503487645714,-0.08598112480877669,2459.9509990890842,-14203.63675495747,4209.898105471614,5073.995603600437,0.00027087891210426235,-0.002702414089304399,-62835.0,107814.8164945052,13862.451178395551,-0.08350965770883141,10109.98651562662,-47602.48136616215,8943.916875254248,40363.3932044799,0.00345569847745068,-0.002842203144897559,-133492.0
t28,155188.18460030662,150594.9649264023,-0.10867131821836121,13677.801945914634,-33438.74356486606,27312.427863087152,94314.48303606044,-0.004587948094138518,-0.0055418246381588945,-407649.0,58164.13525218054,105.05435282210972,-0.08677499946155945,1795.447058111104,-8477.85865013717,4060.4881155250296,4957.822927236393,0.00042219345262271835,-0.002699268903292782,-60605.0,100693.97625282632,13099.150794070938,-0.08300260306321214,6904.502935718024,-35134.014761237,8403.360779895538,31457.1056837616,0.0041657546415157995,-0.0028425557348661125,-125424.0
t29,148855.37727889654,151518.30822606225,-0.10708015301050487,12180.916873047106,-24330.582890606172,27440.062378102622,93890.03428786669,-0.0035305501944597473,-0.005536908649588935,-409554.0,49460.269228373865,105.05309919864145,-0.09095790533076446,1657.371401267686,-4629.384442758133,4055.730949089399,9885.053519770687,-9.911039036401836e-5,-0.00269449096349047,-60534.0,95692.32343043956,13808.905137537826,-0.08278943524792914,4614.004094462325,-23326.088102819514,8044.106252811165,21228.831195351748,0.0036296605848237656,-0.0028424176860984652,-120062.0
t30,176687.88611139116,132485.8024400646,-0.10138239553279035,18285.288775168614,-14071.73538384759,28572.8989452884,84501.97191879358,-0.005877118554606972,-0.0055411895607654586,-426462.0,42736.3231186724,105.05519573590864,-0.08827017185815995,1475.3574985517987,-3329.226121127859,4136.801392102622,16619.778269431838,0.0016202851380614572,-0.002700101436570658,-61744.0,90069.01011206863,15530.037343195789,-0.0813348060244366,3299.7512514032633,-13759.98630169069,7816.0387798465135,13703.228739574903,0.004256833416545515,-0.0028410881241948006,-116658.0
t31,302834.43329462316,46831.65467058781,-0.10264125669899087,40710.879697100456,-7195.6302760440085,31137.323862637062,50418.4517683566,-0.0048225207389960174,-0.005547242688093179,-464737.0,38465.927927406694,105.05283065018182,-0.09218649054808799,2291.503500364466,-3178.9386756233116,4327.349038528406,22577.198934656764,0.001333160838557168,-0.0026992749913906057,-64588.0,96633.73736550394,13862.112940826986,-0.08054828294151013,3354.5964279673954,-10647.259651485068,7810.410066627141,5560.482762760091,0.0034893599004388494,-0.002847967696702573,-116574.0
t32,524515.7113025697,676.0723110685349,-14016.657887004934,57205.76321482804,-51116.409450743406,14238.578139159836,0.030512019231590557,-3974.7945326610325,-177.29360339352195,-527351.0,36663.798692669945,105.05215263990117,-0.09471138113175226,4762.158664303503,-3989.629493760864,4600.91004291541,25338.794755556482,1229.9215971146252,-39.911696537174564,-68671.0,93126.38569122774,14555.856185800356,-0.07879123762416125,4166.687693741256,-6312.719081749597,7957.675508179981,2670.701770628738,2744.872935546407,-137.38190685634737,-118772.0
t33,800641.4119896118,676.0856754535974,-229406.1770561433,69660.84021368319,-65926.90444635661,15858.605646484151,0.03050859731844845,-3974.6080733577,-177.28445247159436,-587352.0,50111.36918174256,105.05408739866621,-0.09072123323730782,7889.119051791491,-6172.078847221619,5161.23060382017,18749.386684433826,1229.9216593914464,-39.911696376305045,-77034.0,112333.66239037615,676.4082420241234,-0.05272778338155419,9646.703910025135,-6325.152346313343,8544.438275613033,46.678603895284965,2744.6864139662534,-137.37275609528933,-127530.0
t34,1.0534622096892025e6,676.0638700876525,-445028.62198107375,71023.23303124141,-70201.04495863536,16962.36421366555,0.029481730263613,1515.0652237045258,-177.29856379628654,-628232.0,59245.496887147216,105.05101290470873,-0.09731334389007555,8732.820630742908,-9371.515611393566,5582.459113248709,17836.77489062832,1229.9220983255293,-39.911703971099364,-83321.0,140215.26260322297,218.14079321081044,-10036.773412454088,18636.180526667016,-5511.479256639163,0.03803395252203983,0.004899462950752299,-2744.987322030055,-137.38685982518717,-140639.0
t35,1.2612123460261363e6,676.0701787065179,-617469.2628564996,76831.92806111528,-70624.4944345773,18091.6161901193,0.030412084554524273,1515.0650030846539,-177.29857398677544,-670056.0,64032.379692157534,105.05214915675649,-0.09973408623338069,8407.758764448774,-12214.250373170824,5906.874043428248,20735.274597338383,1229.9225724744153,-39.91170740098904,-88163.0,170771.2463800078,228.89310556576976,-27119.45287527528,24885.70989315749,-9555.06310687875,0.036252570281261824,0.004798903386299301,-2744.9875755590692,-137.3868665857864,-156329.0
t36,1.3802529124090888e6,676.0666476874629,-686730.2428725612,88551.2886829224,-85680.2004453198,19380.379594985883,0.029916598354783473,1515.0646560124342,-177.29858334572432,-717788.0,66098.78156064718,105.04936928911063,-0.13775418589594443,9804.853060816915,-13246.319446356649,6281.136755875438,23515.625251543206,1229.9229238367052,-39.911717343384645,-93749.0,184933.16910727552,228.98621450219403,-26874.36116302272,23420.350295647113,-15246.810419620471,0.03576363077841571,0.004653517192192273,-2744.9875798491394,-137.38686600233967,-163579.0
t37,1.4132357971481662e6,676.0680503598704,-676980.685355373,100380.08010886027,-99908.63950407483,20499.583454063242,0.029731577278101717,1515.0649548808697,-177.2985826209157,-759240.0,69775.16262988532,105.04776279688717,-0.10574435319727869,12686.889136564092,-13319.587861593263,6736.474496277591,23371.108606611015,1229.922693031201,-39.91171484494135,-100545.0,210320.00516546814,229.1111186108705,-26713.813545842968,20460.145587750863,-32610.11397698815,0.03557810315909572,0.004594577905321546,-2744.9876479120708,-137.38686777597437,-168803.0
t38,1.3641041546683698e6,676.0698980480499,-599932.7194667407,105317.25422720196,-111122.61846251135,21100.062783119105,0.029533314431543882,1515.0654001458852,-177.2985751068864,-781480.0,73505.98993537376,105.10925291380353,-0.07187272217039026,14680.588975115368,-13051.931042141616,7097.145134010679,22401.15898760186,1229.92234084675,-39.91170661731626,-105928.0,229232.76695961607,229.06356037265078,-26633.129391965227,23180.055282169247,-43925.42219287323,0.03582518538570289,0.0045730533322792186,-2744.9877409926353,-137.38686848957013,-179201.0
t39,1.2379023734004665e6,676.0717365563048,-423499.1961715281,108544.10902939952,-149193.21957219328,21527.065291866456,0.02921197226646355,1515.0656582019785,-177.29857867022315,-797295.0,76415.51737803372,105.07217518640303,-0.07370239347009679,14923.390066953556,-13114.60292414382,7270.072998212044,21719.613484572306,1229.9222325991498,-39.91170452966699,-108509.0,236399.41310660393,229.0891058081619,-26601.201908745465,27405.818475017,-44627.78472118426,0.036161002518334706,0.0045525174713307755,-2744.9878908011283,-137.38687414055616,-189923.0
t40,1.0109705655285437e6,676.0613416823675,-112182.41493691076,127000.0861982578,-221087.89636974252,22385.80163091512,0.029449780478644678,1515.065743345816,-177.29857980181632,-829100.0,73691.51250206261,105.07201186830076,-0.07341187712376719,16847.622885181787,-9784.721739210798,7461.961855311749,21861.615265809003,1229.9223401278796,-39.91170478290181,-111373.0,234190.18424501782,229.20946483320267,-26599.05815436281,30975.35494348101,-38133.35694367839,0.03678495376438337,0.004624893299017927,-2744.9880834736955,-137.3868750189145,-197780.0
t41,737733.5843846843,12365.236294556267,-0.09067251333675012,178975.13432622296,-133796.35614313962,58264.07983368566,13464.814866178533,2744.9867566078337,-137.3896396720503,-869614.0,72475.21962417602,105.06419801334214,-0.07494778131553971,22217.415836829736,-7769.631417209714,7835.821805120442,22089.184626918814,0.002993539307043089,-0.0027151497980727277,-116953.0,241974.5397539457,229.2974444101643,-26652.89414351152,33077.81319399171,-42071.421687796304,0.037461196811607464,0.004659194780001913,-2744.989750147141,-137.38692452225223,-203675.0
t42,498427.1167806379,128870.54525117236,-0.08506005855688956,215836.60221715624,-91600.96528480966,59719.660721146385,77478.52817940181,2744.9868546309567,-137.38965238302765,-891339.0,80732.52131529416,105.06161356395728,-0.07475402253902187,27417.75501669463,-13367.660534541443,8212.027043520506,19468.370327173485,0.002708726106032691,-0.0027321805236617883,-122568.0,240082.62193654475,230.64534182690312,-21723.831353684393,41335.94517425724,-42322.04940140648,0.03997697309043542,0.004815836879905639,-2744.9895633570627,-137.386920202504,-214721.0
t43,269793.1560101744,305925.5190677435,-0.08998294268851265,194603.63741520143,-93142.97599722695,56011.344009632616,102800.41559665244,-0.0005561727427760878,-0.00555645062280907,-835991.0,64030.946285753715,105.06093325118053,-0.07502329482931794,34351.4683494807,-4679.941407362196,8342.40906500095,22364.132573931594,0.00196544485406816,-0.0027381443706459858,-124514.0,208116.876072454,3472.7181359831143,-0.08180185231981296,53955.291299321485,-49646.24093272604,15582.60114529849,1095.8403163719427,-0.0014092721112920724,-0.0028183062521630843,-232577.0
t44,129293.32382304921,395138.77551037667,-0.10376597151305098,129700.08507671338,-94609.6404352709,48684.75837636786,118431.81357937063,-0.006574822559298598,-0.005583259979557177,-726639.0,58209.94188747915,105.05948327709746,-0.07673797690090439,29109.492807180817,-5446.975801145876,7686.210761859554,25056.348339256627,0.0020012619216841707,-0.00273727323122234,-114720.0,169492.08026655484,13237.457426709201,-0.08263992908034383,69091.19049719437,-37780.2849562902,16661.17638056728,17973.461304863948,0.004573560637614427,-0.002845986748334837,-248675.0
t45,86722.32904468144,394517.6616774924,-0.10598331380563014,92377.34632223251,-83321.67614830367,44135.861132350336,124313.59730363307,-0.007748401389614763,-0.005593959573675745,-658745.0,65024.80117648828,105.0605263391503,-0.07695320126450897,18301.01274526534,-16313.816588078722,6706.134747233763,26268.884678984832,0.0024095727865808755,-0.002738059245288341,-100092.0,122548.83923179879,13647.702164051247,-0.08306730992386951,80082.80095218225,-13265.432071977046,16635.851657093426,28647.318658220895,0.005338828603033887,-0.0028559003283874034,-248297.0
t46,93280.15596085707,363883.8695133994,-0.10548790114787746,73164.92194968973,-85702.34247717533,41013.86123648531,126507.65248522323,-0.007588357678293963,-0.0055860365325873405,-612148.0,55759.357525775464,105.05813769093422,-0.07742957910601567,14172.416529267015,-11324.25037813033,6299.980570416289,29017.515688647243,0.002088474506621911,-0.0027287591618922885,-94030.0,97132.41878261654,14524.360922755397,-0.08413168842180288,59874.384152562445,-9530.583365762734,14566.824847125608,40848.67615683021,0.005499883171672052,-0.002857277370695052,-217416.0
t47,112058.49375053211,319020.57770696905,-0.10362354981006597,54228.55725149984,-87352.74706370199,37297.50480530364,121427.72933825466,-0.006589088574158842,-0.0055699216011249175,-556680.0,58571.188763968195,105.0575759822627,-0.07747137636434048,11201.4443255505,-19124.41455992274,5806.72628802563,30108.076335928297,0.0014618226454405706,-0.0027165156029527104,-86668.0,86883.22770886644,14463.882930260987,-0.08431647537576607,36430.48389757471,-10872.689588439109,12509.120790881325,47290.056310402084,0.005127265928718271,-0.0028534059981722075,-186704.0
t48,119480.74442333564,280318.31986844575,-0.10611800461441456,40411.76016865038,-86052.47658212252,34053.09634470693,120044.67378023441,-0.0063131540506774116,-0.0055658222908893905,-508256.0,58641.88267695846,105.05742858229817,-0.07803342644204422,8745.910500227064,-26085.128160283766,5281.71414673669,32142.642542244645,0.0016167658688049785,-0.0027144502034159336,-78832.0,96457.36664371057,13052.186873844175,-0.08374049270988966,27967.46760869555,-19249.772258246732,11672.759410097571,44321.073623680306,0.004696388181872433,-0.002851372087473457,-174221.0
t49,125555.90110187489,277384.6009987707,-0.12115662526989604,33367.97713827576,-60573.95391020588,12165.83092342347,0.032652177672936045,-3974.011836802317,-177.2559070367078,-383749.0,19380.80242317186,105.09103794157751,-0.023075126652172828,8750.14744548052,-9871.062128111673,4241.698907547159,39512.401656138536,1229.8533832013031,-39.90964603829814,-63309.0,103528.74089631968,16420.957144524975,-0.08748013474915553,40498.412248058376,-40508.16318102812,11803.276960268622,41819.05122321886,2744.1584536010137,-137.34626099840966,-176169.0
