Zone,1,2,3
t1,-2.2031914819444643e-9,-1.404913356501863e-8,-6.112414617531711e-9
t2,-2.3441218215414778e-9,-1.505732859787401e-8,-6.719704546600365e-9
t3,-2.4498055498646303e-9,-1.5751943200863798e-8,-7.2588349075974605e-9
t4,-2.5012736359544065e-9,-1.630037659945665e-8,-7.712684139436634e-9
t5,-2.5161993802842463e-9,-1.6378632818373272e-8,-8.04124997780441e-9
t6,-2.489533920128832e-9,-1.6490948584499736e-8,-8.312330773882212e-9
t7,-2.3795870795977043e-9,-1.621852330984522e-8,-8.37475090999769e-9
t8,-2.15635655929807e-9,-1.552019165288348e-8,-8.335546079281442e-9
t9,-1.9443567718011274e-9,-1.371561611826914e-8,-7.974020070447426e-9
t10,-1.7922153262395421e-9,-1.2488756796804355e-8,-7.365989402236497e-9
t11,-1.667908471405979e-9,-1.1862478526160847e-8,-6.875747230381994e-9
t12,-1.5492255798451578e-9,-1.111558980850775e-8,-6.606587764417094e-9
t13,-1.4500391491808114e-9,-1.0353129731995364e-8,-6.419721435371251e-9
t14,-1.3966881083380576e-9,-9.875018174950139e-9,-6.090050907033541e-9
t15,-1.3687249138606394e-9,-9.679877424491142e-9,-5.779420568270204e-9
t16,-1.3203410079890118e-9,-9.539866120315602e-9,-5.635246605936347e-9
t17,-1.2461026327243622e-9,-9.041538018366269e-9,-5.526157342372634e-9
t18,-1.2161203566821007e-9,-8.533784735669594e-9,-5.256817845550845e-9
t19,-1.290883953439287e-9,-8.337084648320673e-9,-4.827306160553188e-9
t20,-1.4713253431434003e-9,-9.070881606976702e-9,-4.510843253951942e-9
t21,-1.638977153075201e-9,-1.049753924160957e-8,-4.510911439354418e-9
t22,-1.7341750910809945e-9,-1.1227244638776876e-8,-5.1287038960410316e-9
t23,-1.8645579021924635e-9,-1.1994501806471844e-8,-5.89457325367194e-9
t24,-2.0177846327513013e-9,-1.3001649706471577e-8,-6.266680376126511e-9
t25,-7.004301174833758e-7,-5.5508955300764415e-6,-2.087769634686994e-6
t26,-7.407165416477055e-7,-4.445569344983928e-6,-2.4375724944539365e-6
t27,-7.663938483304501e-7,-4.188276662652858e-6,-2.7310518257887724e-6
t28,-7.704556712609216e-7,-4.33842549994009e-6,-2.7102913672430153e-6
t29,-7.569860346654139e-7,-4.8313245604277025e-6,-2.5065989879706495e-6
t30,-6.973231963349485e-7,-5.490923383386602e-6,-2.362169675720572e-6
t31,-5.718017270136624e-7,-5.957678636587685e-6,-2.164251783081868e-6
t32,-4.365039284968609e-7,-5.7797186828849086e-6,-2.0767282385774818e-6
t33,-3.924977482355397e-7,-4.235106196464314e-6,-1.9061287311489012e-6
t34,-3.6636956017876705e-7,-3.781684365644192e-6,-1.6144081474558555e-6
t35,-3.453480117620335e-7,-3.694460989857258e-6,-1.4548981223311856e-6
t36,-3.223966421779582e-7,-3.525828842451657e-6,-1.3860386263287116e-6
