Resource,EIC_storage_metalair_advanced_0,EIC_landbasedwind_class1_moderate_0,EIC_landbasedwind_class1_moderate_1,EIC_landbasedwind_class1_moderate_2,EIC_landbasedwind_class1_moderate_3,EIC_landbasedwind_class1_moderate_4,EIC_landbasedwind_class1_moderate_5,EIC_landbasedwind_class1_moderate_6,EIC_landbasedwind_class1_moderate_7,EIC_landbasedwind_class1_moderate_8,EIC_landbasedwind_class1_moderate_9,EIC_utilitypv_class1_moderate_0,EIC_utilitypv_class1_moderate_1,EIC_utilitypv_class1_moderate_2,EIC_utilitypv_class1_moderate_3,EIC_utilitypv_class1_moderate_4,EIC_utilitypv_class1_moderate_5,EIC_utilitypv_class1_moderate_6,EIC_utilitypv_class1_moderate_7,EIC_utilitypv_class1_moderate_8,EIC_utilitypv_class1_moderate_9,TRE_storage_metalair_advanced_0,TRE_landbasedwind_class1_moderate_0,TRE_landbasedwind_class1_moderate_1,TRE_landbasedwind_class1_moderate_2,TRE_landbasedwind_class1_moderate_3,TRE_landbasedwind_class1_moderate_4,TRE_landbasedwind_class1_moderate_5,TRE_landbasedwind_class1_moderate_6,TRE_landbasedwind_class1_moderate_7,TRE_landbasedwind_class1_moderate_8,TRE_landbasedwind_class1_moderate_9,TRE_utilitypv_class1_moderate_0,TRE_utilitypv_class1_moderate_1,TRE_utilitypv_class1_moderate_2,TRE_utilitypv_class1_moderate_3,TRE_utilitypv_class1_moderate_4,TRE_utilitypv_class1_moderate_5,TRE_utilitypv_class1_moderate_6,TRE_utilitypv_class1_moderate_7,TRE_utilitypv_class1_moderate_8,TRE_utilitypv_class1_moderate_9,WECC_storage_metalair_advanced_0,WECC_landbasedwind_class1_moderate_0,WECC_landbasedwind_class1_moderate_1,WECC_landbasedwind_class1_moderate_2,WECC_landbasedwind_class1_moderate_3,WECC_landbasedwind_class1_moderate_4,WECC_landbasedwind_class1_moderate_5,WECC_landbasedwind_class1_moderate_6,WECC_landbasedwind_class1_moderate_7,WECC_landbasedwind_class1_moderate_8,WECC_landbasedwind_class1_moderate_9,WECC_utilitypv_class1_moderate_0,WECC_utilitypv_class1_moderate_1,WECC_utilitypv_class1_moderate_2,WECC_utilitypv_class1_moderate_3,WECC_utilitypv_class1_moderate_4,WECC_utilitypv_class1_moderate_5,WECC_utilitypv_class1_moderate_6,WECC_utilitypv_class1_moderate_7,WECC_utilitypv_class1_moderate_8,WECC_utilitypv_class1_moderate_9,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
AnnualSum,1.2669262214911326e6,1705.6210542248293,1840.6896117496908,1589.7989303255624,1520.6338912566732,1551.677604379729,1574.874918415293,1411.2846117826818,1419.998147431946,1269.4935612869492,422.2190304407978,1485.816594471053,1679.97145439051,1530.9143045756825,1574.7977004756694,1551.9120992084258,1518.7275190204102,1519.751794360363,1532.0817219385422,1452.8996190059286,643.6617982034353,104981.87360828613,587.3781840927718,579.762301708745,565.1323269457662,564.0313900458028,586.2253338400067,560.6601029006018,579.5261084938523,547.5274995270976,566.0052531946151,405.56747702833576,605.8369388871265,577.8350992479059,594.8982403438368,573.0650071988409,585.0465911925224,571.9809068916052,570.4291432606348,576.1757682159204,495.08402308209867,570.4977716986972,478573.6046388234,648.6688758313586,658.8863612687629,622.309670944174,670.1848153243862,631.5441664794157,477.24998222851934,620.20764301274,428.7046811384905,597.180055305811,318.40329796941796,666.2905817950051,665.3635632282569,655.6662556462098,665.6430809158205,646.6279805456438,664.7167896489425,635.7849629413994,657.6422855057624,519.6714000625466,642.573187302385,1.9026345108100777e6
t1,428.82160848907245,0.3248531676149561,0.40407517320824005,0.29564883778090045,0.23756237511000178,0.2919993841580624,0.31901692529755976,0.2557190618711069,0.2471872053831391,0.2177969777775136,0.03361572556761097,0.2794220067011264,0.3474047006563157,0.31342561897333937,0.31627873793653954,0.3203176312520517,0.3237518447420546,0.3212240745833412,0.317961554520922,0.3019529390094757,0.1184417191812201,64.70707158148544,0.010601781210531545,0.010426171305658177,0.012893021067410793,0.011238858254135212,0.010418504376463923,0.014666565935591964,0.03664848837761165,0.1583280786572622,0.08793188722995672,0.11833951263628718,0.169524580930649,0.1699003385523302,0.1668213911761247,0.1676666221316378,0.16557312239111294,0.16578760401530807,0.1639214867104838,0.16517995761022206,0.1487321562745046,0.16150646330755533,138.62297337732784,0.13289365941968623,0.13289527629306122,0.12687978188412902,0.1344587327335045,0.1265909483495678,0.09004302196640404,0.12395428914548398,0.08483122976391673,0.11603585078837769,0.04016831491307137,0.1385817921311241,0.13739081705547107,0.13594884436711036,0.1388469190551222,0.133774806470971,0.1394805477483995,0.13301915991043203,0.13965259173951217,0.1046085020001653,0.1385909061308371,642.3040616932285
t2,428.82316277411235,0.3164518493323832,0.39832735960014987,0.2934587755279384,0.22153985676509425,0.28563421911583964,0.3103161008884083,0.2477439361423341,0.22458783721425907,0.2132220556149083,0.033506055153150104,0.2693403136405085,0.33758220339937495,0.3046854810642233,0.3068707514369501,0.3123222151271281,0.31693677258539665,0.3151741507415021,0.3107083429327712,0.2970825771604753,0.1177793384010234,0.182244260676367,0.010480497201624178,0.01041626194880082,0.012695434751024385,0.011280342425683185,0.00796896291295324,0.01438577462356224,0.004463780092037689,0.003035206019805334,0.00400810071802699,0.011217443233284243,0.016087809859621348,0.00909079886614066,0.010677932519127697,0.010739004714352697,0.0009702492359125473,0.01183909562089985,0.009816349309052785,0.002201079344573106,0.008896849831761344,0.0019093347274212443,138.62435093349129,0.13159584166699054,0.13161279199872922,0.1260052770166744,0.13325067512690483,0.1256247399191588,0.08194808443122205,0.12293146930464022,0.08030038714793099,0.1151499211083368,0.04024390226887001,0.13732319812097898,0.1360372991547073,0.1347077419225166,0.13757429499532203,0.13254890472181638,0.13826289102179384,0.13188395350074927,0.1385118822279784,0.10370075971477918,0.1375738498800031,575.6519963333299
t3,428.8242808089578,0.32442622756253303,0.3916003770006332,0.2900559219942018,0.23723539150427955,0.2796520598089949,0.2968921888440037,0.24197655353811637,0.20295038860263404,0.2087540772090173,0.03509363642605346,0.25801208829657707,0.32623200811338615,0.29406722819138437,0.295879236837962,0.30223501844087575,0.30846260626021665,0.3071113599828551,0.30171588815863,0.29017848390174505,0.11646937858241507,0.007163795616735631,0.010318229532439493,0.010432271077108023,0.01294243906917615,0.01126972196924918,0.010624172165982023,0.01433667802688489,0.009233125791480992,0.010069206928531634,0.008412043233089259,0.01669622330192985,0.008368179069156326,0.01067264456818051,0.008460481854302202,0.010752833309242945,0.00895766948848721,0.010641449793009124,0.010267959247081227,0.009487800564715269,0.014433530302134318,0.009757927701647422,138.62583869055942,0.13018926700002129,0.13019920131394375,0.12656146966142645,0.1319823916884501,0.12459437040663501,0.07414275572663277,0.12161308340198354,0.06183301407457288,0.11446086536717266,0.044145232796189655,0.13591520479573727,0.13455805842422752,0.1332737214358242,0.13617209709301797,0.1311115801141538,0.1368977126680972,0.13054236451163356,0.13720344456189226,0.10255710928524586,0.1363658936297741,575.3567368393408
t4,428.8254479764693,0.32190807314596426,0.3856080228017847,0.28842171373154174,0.24123650893053775,0.2749492208830275,0.28761887326852753,0.23730242796691706,0.2160401537057436,0.2057688209990819,0.03582501126371589,0.24888501645822453,0.3165958037939971,0.2851880143906722,0.28673077637694233,0.29376588358604233,0.30120553993166205,0.3003225002372971,0.29412619735134005,0.2844571037656151,0.11565264226852856,0.007219215345608834,0.01039177290917997,0.010229951537801152,0.012868846156292281,0.011304853870305493,0.010633011121984592,0.014356832771419283,0.009244950181017706,0.010076914163187045,0.00838867025395855,0.01543364120251265,0.008367938341225883,0.010663193242628884,0.008459447281982873,0.010741608543010022,0.008955066164087862,0.010633363876202727,0.010260812639637865,0.009481575668407025,0.01439679454532897,0.009748833150468277,138.62720519099602,0.12915733433035098,0.12916344704527832,0.12558956775120111,0.13103744961068525,0.12404859557736395,0.06907059543431722,0.12066961758912229,0.05433332713760437,0.1139500645553149,0.0454048730380239,0.13486779461639697,0.1334497972516179,0.13218294640798073,0.1351402426634189,0.13000647942793578,0.13589421125281506,0.1295212692434631,0.13623593497505188,0.10160178837300828,0.13547876557127825,575.2429228671409
t5,428.8230622630953,0.3141752781897026,0.371866638712716,0.27633029454011654,0.23682927372880447,0.25981751676920417,0.280214133307794,0.2252509774957398,0.2124236254826165,0.19673657484366525,0.039243302080848946,0.23105395159934372,0.2958688937530304,0.26879835644184963,0.26791095514015345,0.2779401634186236,0.28733551862549606,0.28755639802920957,0.27904491220576705,0.2736734833170458,0.11249215149725879,0.007134804809013444,0.010388818160557551,0.010346401509103816,0.012518669124708365,0.011061593311259426,0.010371058584719966,0.013950536537843247,0.009073143310945038,0.009817584622861024,0.008469963237043007,0.014722593398840408,0.00818313319727925,0.010411460555092605,0.008274405341807515,0.010489073928302018,0.00875963904948936,0.010385506809647201,0.010027156637330437,0.009278353261873637,0.014172047608081492,0.009547765243675867,138.62676631827992,0.12666423667965196,0.12665314877241177,0.12260332182338911,0.1285347287384317,0.12247979688514088,0.09927104749158248,0.11882244753148265,0.07176764976028849,0.1126588500132595,0.054177950226367344,0.13259799112010634,0.13107535084446867,0.13006662327936258,0.13270966420471925,0.12799887835871052,0.13360684411320106,0.12768763490411772,0.13428731322623255,0.10077792273159863,0.1338147876803507,575.0300308771785
t6,428.8235016808143,0.29684813673900035,0.3650837432905968,0.2665240211999318,0.23282655302613392,0.25689492292816035,0.2743040153549712,0.2202573223550695,0.22234362135401917,0.19137253280098798,0.03972214035460423,0.22295548730727555,0.286044867111771,0.26035666841937044,0.25887158868131677,0.2693510620354626,0.2800625346021748,0.28075942530573206,0.2704266821219083,0.26364305170268293,0.11154204346301097,0.0071781184737628725,0.010334936012024724,0.0103257755499378,0.012472024626918132,0.010994309090659373,0.010344749189756912,0.013992955212605622,0.009121526628392823,0.009791111648630946,0.008514028314007962,0.01414867971868123,0.008164440508830976,0.010379002465125787,0.008254655924572578,0.010454519180993412,0.008737039815835231,0.01035438383684812,0.00999763387145853,0.009249918748936008,0.0140840133467592,0.009515323092926818,138.62810249758994,0.12579588529047617,0.1257897467329153,0.1230108582475391,0.12776614523800722,0.1219998629334847,0.111455855997258,0.11799837859300641,0.06563612349916928,0.11208124209290818,0.05555335885959223,0.1317211586591366,0.13012084606907598,0.1291694950315672,0.13183679560067438,0.1270944692136711,0.13275696926680564,0.12685243514448036,0.13345915404551809,0.10001066005750452,0.1330596398939878,574.9013728242828
t7,428.82247366039786,0.2992493885658661,0.3570445912648818,0.26287278005915504,0.2599028476477979,0.24925943473627007,0.27730564167722804,0.21353520194442105,0.23637834629896762,0.1839260927772125,0.0421996135050343,0.21283292749687643,0.27530928825334156,0.2479249715913658,0.24236739063229673,0.25013302347867666,0.271689801989596,0.2719043372487324,0.24079234301967667,0.23502461664571722,0.11016212443318585,14.10683119019442,0.15455492546591784,0.15236924002951174,0.15654393674101325,0.15135270970787187,0.15460852703989358,0.15379735542069656,0.15094854670256375,0.14639461018654518,0.13219495711442075,0.06245396448770876,0.1559573837834901,0.15999868253733168,0.15249444392851558,0.1576454730761768,0.15259390857833705,0.15564062076154425,0.15326371677716522,0.15290098410699335,0.1357685518291471,0.14836673311192003,138.62929087372044,0.12480628982470929,0.12479137740765961,0.12339364915066406,0.12683781998341248,0.12131241117702243,0.11948843266909967,0.1171612895724104,0.08692944548732744,0.11112213580858885,0.07176911157920277,0.13074970946243944,0.12909191365141792,0.1281854632999565,0.13086069189296945,0.12611451851228395,0.13182011066457094,0.12595520327615636,0.13259507472412463,0.09929019407265044,0.13229487784528296,591.6328294790276
t8,0.031373935385295926,0.020314991133729594,0.020177893399726747,0.02093272942720554,0.02101728830519858,0.021147372514150137,0.020342306145580108,0.021421545593395278,0.02144659482305039,0.021281619402063273,0.02075235245901594,0.016479512302114196,0.01704948437499701,0.018150732922087284,0.016791549362002497,0.018236400913375177,0.019590140947596223,0.019966936544500265,0.018044849460407533,0.019881636191226827,0.020418515781138104,0.007237646017168103,0.010269719296297823,0.010267469605947366,0.012370656086445097,0.011166699393702474,0.010294972272498502,0.013936502017092456,0.009207513445197078,0.009735865346106001,0.008865489601807316,0.014325999813046008,0.008118988683296368,0.010281265348780277,0.008194089980971141,0.010349654209280908,0.008654980472760958,0.010265858512299074,0.009915835020845042,0.009131493892543946,0.013990812014197518,0.009354162509586319,138.6304270258445,0.12392179372036888,0.12389156797927528,0.12276078513638788,0.12602054451260478,0.12110846384945143,0.1235187506355317,0.11682173935623828,0.10443453708678402,0.11091141275095912,0.07983491563839071,0.12993439904986648,0.1282139683328314,0.127308818769243,0.12995210414989555,0.1251491701366384,0.1309890199367586,0.12521172661480381,0.13183695055446476,0.09820163792790412,0.13163448513198017,141.6828378780426
