BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,4.268518225660901e9,3.2934335789932303e9,-2.941340308394142e9,5.552588085993952e8,-5.552588085865765e8,2.2094803621091493e6,6.705944617557086e6,-3.4865437451141677e6,-1.137246207355584e6,-4.624903131e9,1.1276512548306222e8,7.349441219677414e8,-1.6225478727813354e8,8.739314994477338e7,-8.739314993195453e7,380909.10636503063,1.2235555195998529e6,136485.01530719362,-305222.574099024,-6.86890187e8,8.065282969702871e8,8.068193736288406e8,-2.505854685316758e8,2.0267947237208784e8,-2.0267947235926908e8,573339.2120889409,1.7221348834089672e6,3.350058729806973e6,-832023.6332565602,-1.367575711e9
t1,22207.12327700868,532933.5103184542,-80186.4926234955,25461.447252854512,-53099.391808973516,0.0016294963278269822,0.00010651322142223049,-1286.442117394867,-42.75599509099001,-445987.0,14846.949281556785,86026.84327262973,-19660.81424315809,6518.12056663585,-18687.08539810217,0.0015868579891121423,0.00010589145969114006,1229.8963932170602,-39.911536525186136,-70234.0,37120.29606177925,122047.41174918003,-8913.167945932411,19873.557431518802,-8499.800265331145,0.0016272830362561502,0.0001077911652033849,56.545724177806804,-2.8444585658038783,-161682.0
t2,22018.35283745666,503860.9958536927,-80295.98337949738,17970.392717768435,-45845.18969508693,0.0016272724054186016,0.00010649880546183157,1172.2240665622678,-42.79409529428661,-418838.0,13145.161281069786,86162.20904910674,-19663.655626989643,4495.156041337549,-17161.29628977103,0.0015043703735154572,0.00010488864928031544,-1229.6716478146998,-39.90438928467044,-65708.0,33306.77186983693,121562.71243590594,-8681.635570592818,13342.823373591473,-12681.231670067435,0.0016087062948901974,0.0001076049385517053,57.44758125243187,-2.8897060096161775,-146904.0
t3,22304.014786635544,480038.1624850461,-80859.6632280712,14349.038237705321,-37235.65957876082,0.001627729755711509,0.00010652953592477375,1171.9305565798509,-42.82495318553535,-399725.0,12640.245821544224,84369.29179377627,-20675.855315980632,2264.4047126206906,-14658.297661377974,0.001510446469606462,0.0001050178433186591,-1229.8806502562823,-39.91028804145177,-62670.0,33666.78639539509,116798.24360414554,-10543.175990531934,9368.778930743658,-13633.670053603575,0.001607990977704013,0.00010755618195261011,57.95009367643129,-2.914665144083578,-135712.0
t4,23206.142430715732,464290.410337408,-80989.82030040151,12272.037208879472,-28835.077890170818,0.0016256424669746626,0.00010644429391881634,1171.1693945235118,-42.86287450521616,-391072.0,11909.553621198005,81201.44982045608,-21718.816386974344,1725.5449119020996,-11384.943354202818,0.0015026695142874246,0.00010493388376791831,-1229.8798619617894,-39.91033027141524,-60463.0,33952.33583993865,113341.99328646307,-11687.199264336796,5964.629336112777,-14012.518805210975,0.0016057393925909603,0.00010748149086232581,58.71046743827772,-2.9525442338009227,-127615.0
t5,23159.904211753117,454819.79400657234,-81141.61918534213,10908.960767942277,-20886.140821818728,0.0016300689078870504,0.00010656230167046016,1170.972185786567,-42.87286298941882,-387989.0,10897.967947426396,80159.80767955448,-22064.106861475364,1645.7306844276143,-9309.61046557841,0.0015074613824596107,0.00010497336044073817,-1229.8802525926212,-39.91031644764921,-60060.0,33931.13047892615,111537.34661049364,-11941.997800278641,4574.725080536968,-16096.151575866243,0.0016086268772293692,0.00010752537363070644,58.90806680605419,-2.9625465417696106,-122061.0
t6,59356.94865635014,409934.20784217416,-80174.62968073123,16254.865604796185,-13019.018665856838,0.001647958116704782,0.00010701400661467628,1169.5658212306357,-42.94129418987467,-393479.0,10300.652892334363,76583.88385164016,-23383.363470064076,1386.2045649933227,-3584.609296224493,0.0015446506639991105,0.0001055683977902864,-1229.860770436243,-39.909398057721184,-60033.0,33339.93625622811,110721.6162909562,-12469.692748274549,3274.6849567871195,-16140.809513360498,0.0016258241442949543,0.00010815820963084636,60.294949205607374,-3.0318961321534847,-118783.0
t7,197984.5857884699,252447.8776148082,-65390.75005994617,35806.10400659633,-7584.22107893752,0.0016486965459936364,0.00010694293206572986,-61.48030784660228,-3.1176858920243995,-413199.0,9623.272108844847,72920.78798312257,-24673.114372594453,2946.349668870894,-0.1132984353517161,0.0015756392936882645,0.00010587862883938229,-0.16553508875039408,-0.018211833261800023,-60817.0,35164.18215020328,103321.90724559901,-15089.078610048982,3347.569643056799,-9103.128501959252,0.0016255957450348256,0.00010806889007843344,61.645842935352675,-3.0994740587625995,-117700.0
t8,458225.9910181661,176715.15596614816,-175864.76275117154,46387.15498631332,-45988.538579864384,0.0016338445546735,0.00010677991696763031,-1515.72464054502,-177.2777086608291,-457782.0,9310.97528580809,73154.87535010114,-22985.676095938685,5561.792783630384,-290.88677712653225,0.0015725590017012648,0.0001054187815438087,-1229.1890775531956,-39.89312500311875,-63482.0,39439.57896656415,96032.21210369174,-17793.595207941107,4108.4344172626425,-6382.161119269525,0.0016266561305141166,0.00010798754455395128,2744.9137180982157,-137.38458365771035,-118012.0
