Constraint,CapRes_1,CapRes_2,CapRes_3
t1,4.9641152633979614e-5,0.00035886124850648924,0.0002552933815101168
t2,4.97570702178724e-5,0.0003446979743294201,0.00025244555628848843
t3,4.988027193221117e-5,0.00034249839456901196,0.0002443727275137569
t4,5.0107472713797705e-5,0.00033449547080490805,0.00023746831237424768
t5,5.032781900069155e-5,0.0003343864458767894,0.00023280906244907315
t6,5.0653799230973515e-5,0.0003286622604863668,0.00022776478180222475
t7,4.8891457517927843e-5,0.00033791561026092577,0.00022497119745333645
t8,4.062360874352845e-5,0.00034248332570331375,0.00022714672718149732
t9,4.848368151007254e-5,0.0003663760330930823,0.0002247958803998489
t10,5.1231154446072554e-5,0.0003841023025055862,0.00020599717338673623
t11,5.260070899861716e-5,0.00040293467974650775,0.00020392831746445826
t12,5.343801546493105e-5,0.0004809264638593868,0.00019205650290188487
t13,5.3625889788952136e-5,0.0005506203565052257,0.00020395197648618893
t14,5.3874653164565334e-5,0.0005930969528314811,0.00021715632059307857
t15,5.3642114373396597e-5,0.0006519533012869814,0.00022397099932285365
t16,5.3639881957459266e-5,0.0006943744293507485,0.00022716802947510162
t17,5.3146269688135575e-5,0.0008666800277036655,0.0002297131582298411
t18,5.290144813572643e-5,0.0011048529282945594,0.0002456649741352861
t19,5.1562582693914426e-5,0.0010745731224573968,0.000274576777588106
t20,5.028670967626916e-5,0.0008292300814789453,0.0003209947878973186
t21,5.0103541796549524e-5,0.0006610016163560095,0.0003591951003938965
t22,4.9962858407281414e-5,0.0006341120643305263,0.00031493879055607645
t23,4.983736864445178e-5,0.0006359881785598298,0.0002951467583288816
t24,4.9507265865176986e-5,0.0006910573509592587,0.00029447062301917885
t25,0.014353282206655367,0.19117372632576152,0.19280230335946666
t26,0.014362415559483352,0.12509743703849208,0.19181022800829073
t27,0.014359113715342813,0.11355895453788051,0.18617080457147606
t28,0.014360898990250025,0.11214673981980654,0.16421521842713563
t29,0.014360961157377606,0.12139805474111047,0.14349145209057657
t30,0.014357435433885037,0.15570916137635474,0.12045163610733275
t31,0.014291608114162161,0.2373235331912106,0.09077686638278823
t32,0.014103076764355333,0.3716178133936314,0.0778612029265722
t33,0.014844217125327847,0.38356263384481687,0.07027313356596808
t34,0.01533228930829209,0.44038044052641373,0.06825649044920616
t35,0.015566337654933296,0.5832593377380686,0.0685149345208784
t36,0.01569615506596044,1.7594575812079003,0.06916396841105532
t37,0.015695565548294044,766.445710208576,0.0717729670571055
t38,0.01575019929610565,767.6390209270761,0.07606788426236082
t39,0.01568737868965151,767.7047313369843,0.08013414095059253
t40,0.015623875141369273,767.724470345442,0.08364723947690411
t41,0.01544948852612139,767.7344904623997,0.09243293590899002
t42,0.015412940144678741,767.721561676894,0.14148521212305526
t43,0.01502514587779218,767.7496194537883,0.17355828359668962
t44,0.014622994646043158,767.738157370005,0.200685933003728
t45,0.014551978974884049,767.712969534833,0.21323686645599205
t46,0.01448261480592296,767.7143236542499,0.22709971171595242
t47,0.014435269711942712,767.7061292281988,0.22197362594517592
t48,0.01435196184440703,767.6941899537902,0.20503435544753734
t49,0.00859232716187897,3950.3835775827797,0.26778507757677295
t50,0.008578832262835066,3950.3791890940456,0.2556200393709649
t51,0.008566579360488711,3950.3644108323792,0.22299063258528498
t52,0.0085631487222461,3950.326695060023,0.16509475040454127
t53,0.00857908188107008,3950.2546153234716,0.12238190886671169
t54,0.008606714359378907,3949.7161273877423,0.09016140255584823
t55,0.008622412558636411,3949.1814035285,0.071342071708397
t56,0.008395813717611679,3925.576418885376,0.0626233825218929
t57,0.008512937618134216,1.9489303354223821,0.05954253897156498
t58,0.008763666461272874,0.203409046315287,0.05552566970383871
t59,0.008900813868695213,0.15198268738698117,0.05439110775445592
t60,0.00900094564680201,0.1481467571137228,0.054392606328511936
t61,0.008964960116624017,0.14921012332442052,0.05674980561244073
t62,0.009008638449056609,0.1516729286907174,0.06219657535186684
t63,0.008953038530760167,0.1535314122678995,0.06904746541854936
t64,0.008917908518370564,0.15872890073752655,0.07353270660065447
t65,0.008760886640081985,0.17534680238468361,0.08506432316796247
t66,0.008638054466142036,0.2630452371945501,0.14438328627645453
t67,0.008569667919544931,0.8193467112724129,0.20307125797257786
t68,0.008552800811308848,3950.4148380769598,0.2854450317160047
t69,0.008609587904407747,3950.4962797043645,0.8204651135463801
t70,0.008618228912106144,3950.457333070214,0.8343142328258889
t71,0.00859216441604114,3950.4037603311563,0.8324981490698139
t72,0.008557158070985435,3950.3918414363234,0.8056568053144629
t73,6.703205256906846e-5,0.000554536163339327,0.0005451386031480524
t74,6.738307053279265e-5,0.0005148144706908798,0.0005391648364686221
t75,6.762917550842021e-5,0.0004879654922831711,0.0005343841302084287
t76,6.781506090999165e-5,0.00046650932230401463,0.0005304759885610089
t77,6.801200016576021e-5,0.00045055228131906115,0.00047472264934152685
t78,6.953991943498114e-5,0.00043574649511085296,0.0003966168362220666
t79,7.036318795308619e-5,0.00043828215311911875,0.000390412635308073
t80,7.20725466389899e-5,0.0004479875156911916,0.0003821145031417614
t81,6.213765931200358e-5,0.00045989859391281165,0.0003835914833260405
t82,8.190998695041136e-5,0.00045391031384239654,0.00038947614673820783
t83,6.225985777629704e-5,0.00046750162999399273,0.0003620037229553726
t84,6.847892466664496e-5,0.0004918878576031909,0.000358691889854093
t85,6.902855961447014e-5,0.0005205479160835224,0.0003750885364165321
t86,6.910995659372898e-5,0.0005508221749560756,0.0004118485838706193
t87,6.88123674848329e-5,0.0005655495538060608,0.00043035680342259875
t88,6.936587662448974e-5,0.0005838094381574368,0.0004416418453361121
t89,6.837516042054829e-5,0.0006065519916173554,0.0004483172639749479
t90,6.798952304484371e-5,0.0005968399911389967,0.00045686282560115086
t91,6.681345231540273e-5,0.000612720704224877,0.0005659094737437397
t92,6.681753997320136e-5,0.0006729322683759611,0.00059669029922588
t93,6.714322245677195e-5,0.0006684221022278852,0.0006113594542936019
t94,6.746648865284815e-5,0.0006187701026374936,0.0006371354270030752
t95,6.75389887452458e-5,0.0005747922978043944,0.0006284388466857759
t96,6.70809805844379e-5,0.0005098762304778185,0.0005962925260340128
