Zone,1,2,3
t1,10.00292750793597,13.825174809661272,11.05123522245356
t2,10.002927426075665,3.092897149295739,11.051216887348295
t3,10.002927275638271,0.0014168735039212326,11.051220620660448
t4,10.00292695468484,0.001269863530584882,11.05121946429595
t5,10.002926263882863,0.0012259609207950419,11.051205632722898
t6,10.002924811877293,0.0013691756495655598,11.051184499234475
t7,10.002917933889998,10.46783205407411,11.051170490332135
t8,3.016791006060653,0.008047165062623244,11.051121242026433
t9,3.01677349558282,0.0001115594342425831,11.050965741338846
t10,3.0167692459486224,-9.276371539911391e-5,3.3348586037949124
t11,3.0167660419534914,-9.164817612440702e-5,-5.926018839292488e-5
t12,3.016763014885342,0.00021305518090864947,-0.0002193323590764905
t13,3.0167636209522937,0.0020750597739693103,-0.0003262583162474544
t14,3.0167665910891537,2.814173624162657,-0.00034646305461521424
t15,3.0167680271606874,2.814291758658189,-0.0003514353282020439
t16,3.0167691396473497,2.816746402894529,-0.00033993635517046286
t17,3.0167756618759696,13.822932258836813,-0.000254746108616375
t18,10.002910292359411,13.82329766028298,-0.00019624043375465435
t19,10.00292274507167,13.824493202710716,-0.00010088991224938217
t20,10.002925405107579,13.824840014106211,8.287246335865158
t21,10.002926250190784,71.7147421972661,11.051070805621185
t22,10.002926755751133,71.71589165423036,11.051131748934157
t23,10.00292708634912,104.93203759363585,11.05115456216931
t24,10.002927568675693,13.82494202600155,11.051158287346487
t25,1999.9979074773387,1999.9970844686643,1999.997374981201
t26,1999.9979086768217,1999.9905763477834,1999.9971462714122
t27,1999.997902528752,1999.987188319826,1999.9970160082557
t28,1999.9978987744475,1999.9875209804256,1999.9963153736205
t29,1999.99784021955,1999.991366652782,1999.9957370538286
t30,1999.9977180454587,1999.9963512908746,1999.9949118781294
t31,1999.9972741504582,1999.9965594998662,1999.9908508932879
t32,1692.5197129862424,1999.998531086328,1999.9771236489537
t33,1692.5172860149087,1999.9971829803872,1997.1900878353115
t34,1692.5164973761423,1999.9943290649985,1.7402443975675599
t35,1692.516034252484,1999.993519415322,-0.006658539031935632
t36,1692.5156017064874,1999.9944436353624,-0.04792711752244335
t37,1692.5157318288207,1999.9946881085805,-0.058639541055425466
t38,1692.5161793560342,1999.9945155531834,-0.06356822551272026
t39,1692.5164202268688,1999.9943235435746,-0.06614025959076736
t40,1692.5167766472252,1999.9944140777668,-0.06164495442683372
t41,1692.5221189958197,1999.9960578740497,-0.03755139120462179
t42,1999.994652570544,1999.9958758979367,1.5797490875868212
t43,1999.9967286426381,1999.9965789651262,1999.900348900475
t44,1999.997446012702,1999.9950899787664,1999.9882570636585
