Resource,Zone,Resource_Type,Cluster,StartCapSolar,RetCapSolar,NewCapSolar,EndCapSolar,StartCapWind,RetCapWind,NewCapWind,EndCapWind,StartCapDC,RetCapDC,NewCapDC,EndCapDC,StartCapGrid,RetCapGrid,NewCapGrid,EndCapGrid,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeDCCap,RetChargeDCCap,NewChargeDCCap,EndChargeDCCap,StartChargeACCap,RetChargeACCap,NewChargeACCap,EndChargeACCap,StartDischargeDCCap,RetDischargeDCCap,NewDischargeDCCap,EndDischargeDCCap,StartDischargeACCap,RetDischargeACCap,NewDischargeACCap,EndDischargeACCap
EIC_landbasedwind_class1_moderate_9,1,LandbasedWind_Class1_Moderate_,9,0,0.0,0.0,0.0,0,0.0,0.4561340633870029,0.4561340633870029,0,0.0,1.1798346107716642,1.1798346107716642,0.0,0.0,0.3164591766715224,0.3164591766715224,0.0,0.0,82.35563627273312,82.35563627273312,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
EIC_utilitypv_class1_moderate_0,1,UtilityPV_Class1_Moderate_,0,0,0.0,11.611001724154486,11.611001724154486,0,0.0,0.0,0.0,0,0.0,7.942681627957137,7.942681627957137,0.0,0.0,7.902536601369358,7.902536601369358,0.0,0.0,289.9304029047379,289.9304029047379,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
EIC_utilitypv_class1_moderate_1,1,UtilityPV_Class1_Moderate_,1,0,0.0,410207.2989687967,410207.2989687967,0,0.0,0.0,0.0,0,0.0,238399.60701727803,238399.60701727803,0.0,0.0,238399.71256670775,238399.71256670775,0.0,0.0,295.93806804547955,295.93806804547955,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
EIC_utilitypv_class1_moderate_2,1,UtilityPV_Class1_Moderate_,2,0,0.0,3.682436807549356,3.682436807549356,0,0.0,0.0,0.0,0,0.0,3.2365497549847824,3.2365497549847824,0.0,0.0,2.9988750701156093,2.9988750701156093,0.0,0.0,278.94619316778204,278.94619316778204,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
EIC_utilitypv_class1_moderate_3,1,UtilityPV_Class1_Moderate_,3,0,0.0,15.126027513495636,15.126027513495636,0,0.0,0.0,0.0,0,0.0,9.539785858855792,9.539785858855792,0.0,0.0,9.459918881160613,9.459918881160613,0.0,0.0,285.40391854843324,285.40391854843324,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
EIC_utilitypv_class1_moderate_4,1,UtilityPV_Class1_Moderate_,4,0,0.0,3.629093626777696,3.629093626777696,0,0.0,0.0,0.0,0,0.0,3.1272691062177786,3.1272691062177786,0.0,0.0,2.84859291962821,2.84859291962821,0.0,0.0,275.2149430387689,275.2149430387689,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
EIC_utilitypv_class1_moderate_5,1,UtilityPV_Class1_Moderate_,5,0,0.0,2.6555114191471056,2.6555114191471056,0,0.0,0.0,0.0,0,0.0,2.67259807040403,2.67259807040403,0.0,0.0,2.2066987664815407,2.2066987664815407,0.0,0.0,264.48768093221827,264.48768093221827,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
EIC_utilitypv_class1_moderate_6,1,UtilityPV_Class1_Moderate_,6,0,0.0,2.307604273985972,2.307604273985972,0,0.0,0.0,0.0,0,0.0,2.4165189972474828,2.4165189972474828,0.0,0.0,1.929620580597261,1.929620580597261,0.0,0.0,259.5646915698749,259.5646915698749,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
EIC_utilitypv_class1_moderate_7,1,UtilityPV_Class1_Moderate_,7,0,0.0,3.8855208842500697,3.8855208842500697,0,0.0,0.0,0.0,0,0.0,3.2223713298023813,3.2223713298023813,0.0,0.0,2.8185730849290893,2.8185730849290893,0.0,0.0,266.4925457418386,266.4925457418386,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
EIC_utilitypv_class1_moderate_8,1,UtilityPV_Class1_Moderate_,8,0,0.0,1.9285896221191168,1.9285896221191168,0,0.0,0.0,0.0,0,0.0,2.195968527173074,2.195968527173074,0.0,0.0,1.5589562379712354,1.5589562379712354,0.0,0.0,243.86420574706594,243.86420574706594,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
