Zone,1,2,3
t1,0.37516975110997386,3.975892361619275e-6,1.0384708917721917
t2,2.7257248490089183,2.0930978109333924e-6,3.389025425144493
t3,2.725811903543623,1.8818412830903795e-6,3.3891108902049667
t4,2.725821499925529,1.5077126298052992e-6,3.389116684603504
t5,2.725819612695892,1.4692934166292414e-6,3.3891089470815943
t6,2.7257804636567844,1.286000112510047e-6,3.3890627800379307
t7,0.00012009643472569339,1.2905139046996547e-6,0.6634050193021106
t8,4.4166656797194e-5,1.8340319251815757e-6,0.6633344442060711
t9,2.394879740428059e-5,2.2159061913981435e-6,0.6633396536700504
t10,3.237656314422215e-8,1.1001828539042637,5.964752226137312
t11,-1.762694394571571e-7,1.100181689501358,0.280258417902745
t12,-4.5266851360037684e-7,1.100182705225819,0.2802450990183651
t13,-1.0740857895442599e-7,8.899442887903193,0.28024510539793107
t14,2.0724731278283337e-9,8.89944112225674,0.28024514159246056
t15,1.1537583607477747e-7,8.89943793142596,0.2802452469586625
t16,2.496935239752061e-7,8.899429285457668,0.28024538923722075
t17,1.0249513644799383e-6,8.619152634024013,3.8880336819696844e-7
t18,0.0011678374824300628,2.6051443211334058,4.056138632328838e-7
t19,4.3072790145758966e-5,2.603999977168964,0.6633355769448038
t20,4.3022793113769276e-5,1.6289505067558712e-5,0.6633440516636208
t21,4.325823747975218e-5,1.122873336241853e-5,0.6633445996875256
t22,2.725818889734995,5.329796304349802,3.389119857200812
t23,0.00011252691964510994,6.289461384015251e-6,0.6634138183760254
t24,0.13298906318184492,7.4261540839190855e-6,0.7962903188969467
t25,1.867751811612589,3.829652762993494e-6,2.5310614191471585
t26,2.7258738073924667,1.650993503054719e-6,3.389183277896001
t27,2.725893859095917,1.0792150797784088e-6,3.389203182765845
t28,2.7259073610146287,1.0358351029377675e-6,3.389216044300863
t29,2.725907907613396,8.991955904345443e-7,3.38921558642402
t30,2.725883324689971,7.239878989277663e-7,3.3891901447620683
t31,2.725817531260462,9.033668083730228e-7,3.3891250676833
t32,0.0001338672692015267,1.0245236128809018e-6,0.663442859095263
t33,5.508601171893438e-7,1.463094275374773e-6,3.3891075172477954
t34,7.153516611386664e-8,1.1001883627501434,6.395155624797617
