region,Resource,technology,Inv_Cost_per_MWyr,Inv_Cost_Inverter_per_MWyr,Inv_Cost_Solar_per_MWyr,Inv_Cost_Wind_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Inverter_Cost_per_MWyr,Fixed_OM_Solar_Cost_per_MWyr,Fixed_OM_Wind_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr
EIC,EIC_utilitypv_class1_moderate_0,hybrid_pv,8863.386,5290.90830479731,19313.515248369717,0.0,16171.049839688296,1442.5,3894.7500000000005,9087.75,0.0,3546
EIC,EIC_utilitypv_class1_moderate_1,hybrid_pv,4464.156,5290.90830479731,19313.515248369717,0.0,16171.049839688296,1442.5,3894.7500000000005,9087.75,0.0,3546
EIC,EIC_utilitypv_class1_moderate_2,hybrid_pv,14629.711,5290.90830479731,19313.515248369717,0.0,16171.049839688296,1442.5,3894.7500000000005,9087.75,0.0,3546
EIC,EIC_utilitypv_class1_moderate_3,hybrid_pv,10125.593,5290.90830479731,19313.515248369717,0.0,16171.049839688296,1442.5,3894.7500000000005,9087.75,0.0,3546
EIC,EIC_utilitypv_class1_moderate_4,hybrid_pv,16248.012,5290.90830479731,19313.515248369717,0.0,16171.049839688296,1442.5,3894.7500000000005,9087.75,0.0,3546
EIC,EIC_utilitypv_class1_moderate_5,hybrid_pv,22825.004,5290.90830479731,19313.515248369717,0.0,16171.049839688296,1442.5,3894.7500000000005,9087.75,0.0,3546
EIC,EIC_utilitypv_class1_moderate_6,hybrid_pv,24565.988,5290.90830479731,19313.515248369717,0.0,16171.049839688296,1442.5,3894.7500000000005,9087.75,0.0,3546
EIC,EIC_utilitypv_class1_moderate_7,hybrid_pv,21180.786,5290.90830479731,19313.515248369717,0.0,16171.049839688296,1442.5,3894.7500000000005,9087.75,0.0,3546
EIC,EIC_utilitypv_class1_moderate_8,hybrid_pv,32414.229,5290.90830479731,19313.515248369717,0.0,16171.049839688296,1442.5,3894.7500000000005,9087.75,0.0,3546
EIC,EIC_utilitypv_class1_moderate_9,hybrid_pv,148668.665,5290.90830479731,19313.515248369717,0.0,16171.049839688296,1442.5,3894.7500000000005,9087.75,0.0,3546
TRE,TRE_utilitypv_class1_moderate_0,hybrid_pv,6412.182,5035.987452353783,18382.972232469896,0.0,15700.04838804689,1442.5,3894.7500000000005,9087.75,0.0,3546
TRE,TRE_utilitypv_class1_moderate_1,hybrid_pv,8460.982,5035.987452353783,18382.972232469896,0.0,15700.04838804689,1442.5,3894.7500000000005,9087.75,0.0,3546
TRE,TRE_utilitypv_class1_moderate_2,hybrid_pv,10478.698,5035.987452353783,18382.972232469896,0.0,15700.04838804689,1442.5,3894.7500000000005,9087.75,0.0,3546
TRE,TRE_utilitypv_class1_moderate_3,hybrid_pv,14103.154,5035.987452353783,18382.972232469896,0.0,15700.04838804689,1442.5,3894.7500000000005,9087.75,0.0,3546
TRE,TRE_utilitypv_class1_moderate_4,hybrid_pv,14224.435,5035.987452353783,18382.972232469896,0.0,15700.04838804689,1442.5,3894.7500000000005,9087.75,0.0,3546
TRE,TRE_utilitypv_class1_moderate_5,hybrid_pv,18539.404,5035.987452353783,18382.972232469896,0.0,15700.04838804689,1442.5,3894.7500000000005,9087.75,0.0,3546
