region,Resource,technology,Inv_Cost_per_MWyr,Inv_Cost_Inverter_per_MWyr,Inv_Cost_Solar_per_MWyr,Inv_Cost_Wind_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Inverter_Cost_per_MWyr,Fixed_OM_Solar_Cost_per_MWyr,Fixed_OM_Wind_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr
CA_N,CA_N_utilitypv_class1_moderate_0,hybrid_pv,2913.821,7534.347025,28469.17223,0,22243.6774,1987.7,5366.79,12522.51,0,7473.050812
CA_N,CA_N_utilitypv_class1_moderate_1,hybrid_pv,4462.142,7534.347025,28469.17223,0,22243.6774,1987.7,5366.79,12522.51,0,7473.050812
CA_N,CA_N_utilitypv_class1_moderate_2,hybrid_pv,8678.811,7534.347025,28469.17223,0,22243.6774,1987.7,5366.79,12522.51,0,7473.050812
CA_N,CA_N_utilitypv_class1_moderate_3,hybrid_pv,6470.444,7534.347025,28469.17223,0,22243.6774,1987.7,5366.79,12522.51,0,7473.050812
CA_N,CA_N_utilitypv_class1_moderate_4,hybrid_pv,11930.837,7534.347025,28469.17223,0,22243.6774,1987.7,5366.79,12522.51,0,7473.050812
CA_N,CA_N_utilitypv_class1_moderate_5,hybrid_pv,9810.042,7534.347025,28469.17223,0,22243.6774,1987.7,5366.79,12522.51,0,7473.050812
CA_S,CA_S_utilitypv_class1_moderate_0,hybrid_pv,2905.887,7541.58463,27812.59538,0,22265.045,1987.7,5366.79,12522.51,0,7473.050812
CA_S,CA_S_utilitypv_class1_moderate_1,hybrid_pv,5448.393,7541.58463,27812.59538,0,22265.045,1987.7,5366.79,12522.51,0,7473.050812
CA_S,CA_S_utilitypv_class1_moderate_2,hybrid_pv,11921.844,7541.58463,27812.59538,0,22265.045,1987.7,5366.79,12522.51,0,7473.050812
CA_S,CA_S_utilitypv_class1_moderate_3,hybrid_pv,6745.124,7541.58463,27812.59538,0,22265.045,1987.7,5366.79,12522.51,0,7473.050812
CA_S,CA_S_utilitypv_class1_moderate_4,hybrid_pv,17250.161,7541.58463,27812.59538,0,22265.045,1987.7,5366.79,12522.51,0,7473.050812
CA_S,CA_S_utilitypv_class1_moderate_5,hybrid_pv,13205.952,7541.58463,27812.59538,0,22265.045,1987.7,5366.79,12522.51,0,7473.050812
WECC_AZ,WECC_AZ_utilitypv_class1_moderate_0,hybrid_pv,3167.206,7324.456474,25343.86642,0,21624.01684,1987.7,5366.79,12522.51,0,7473.050812
WECC_AZ,WECC_AZ_utilitypv_class1_moderate_1,hybrid_pv,2536.349,7324.456474,25343.86642,0,21624.01684,1987.7,5366.79,12522.51,0,7473.050812
WECC_AZ,WECC_AZ_utilitypv_class1_moderate_2,hybrid_pv,6423.252,7324.456474,25343.86642,0,21624.01684,1987.7,5366.79,12522.51,0,7473.050812
WECC_AZ,WECC_AZ_utilitypv_class1_moderate_3,hybrid_pv,8637.135,7324.456474,25343.86642,0,21624.01684,1987.7,5366.79,12522.51,0,7473.050812
WECC_AZ,WECC_AZ_utilitypv_class1_moderate_4,hybrid_pv,14592.597,7324.456474,25343.86642,0,21624.01684,1987.7,5366.79,12522.51,0,7473.050812
WECC_AZ,WECC_AZ_utilitypv_class1_moderate_5,hybrid_pv,11716.691,7324.456474,25343.86642,0,21624.01684,1987.7,5366.79,12522.51,0,7473.050812
WECC_AZ,WECC_AZ_utilitypv_class1_moderate_6,hybrid_pv,19431.433,7324.456474,25343.86642,0,21624.01684,1987.7,5366.79,12522.51,0,7473.050812
WECC_AZ,WECC_AZ_utilitypv_class1_moderate_7,hybrid_pv,22016.967,7324.456474,25343.86642,0,21624.01684,1987.7,5366.79,12522.51,0,7473.050812
WECC_CO,WECC_CO_utilitypv_class1_moderate_0,hybrid_pv,3088.072,7172.466765,25659.02331,0,21175.29712,1987.7,5366.79,12522.51,0,7473.050812
WECC_CO,WECC_CO_utilitypv_class1_moderate_1,hybrid_pv,2236.081,7172.466765,25659.02331,0,21175.29712,1987.7,5366.79,12522.51,0,7473.050812
WECC_CO,WECC_CO_utilitypv_class1_moderate_2,hybrid_pv,6652.3,7172.466765,25659.02331,0,21175.29712,1987.7,5366.79,12522.51,0,7473.050812
WECC_CO,WECC_CO_utilitypv_class1_moderate_3,hybrid_pv,9836.243,7172.466765,25659.02331,0,21175.29712,1987.7,5366.79,12522.51,0,7473.050812
WECC_CO,WECC_CO_utilitypv_class1_moderate_4,hybrid_pv,12990.508,7172.466765,25659.02331,0,21175.29712,1987.7,5366.79,12522.51,0,7473.050812
WECC_CO,WECC_CO_utilitypv_class1_moderate_5,hybrid_pv,17792.155,7172.466765,25659.02331,0,21175.29712,1987.7,5366.79,12522.51,0,7473.050812
WECC_ID,WECC_ID_utilitypv_class1_moderate_0,hybrid_pv,3133.536,7461.970973,25895.39098,0,22030.00134,1987.7,5366.79,12522.51,0,7473.050812
WECC_ID,WECC_ID_utilitypv_class1_moderate_1,hybrid_pv,5440.064,7461.970973,25895.39098,0,22030.00134,1987.7,5366.79,12522.51,0,7473.050812
WECC_ID,WECC_ID_utilitypv_class1_moderate_2,hybrid_pv,9430.22,7461.970973,25895.39098,0,22030.00134,1987.7,5366.79,12522.51,0,7473.050812
WECC_ID,WECC_ID_utilitypv_class1_moderate_3,hybrid_pv,12960.213,7461.970973,25895.39098,0,22030.00134,1987.7,5366.79,12522.51,0,7473.050812
WECC_IID,WECC_IID_utilitypv_class1_moderate_0,hybrid_pv,7625.853,7541.58463,27812.59538,0,22265.045,1987.7,5366.79,12522.51,0,7473.050812
WECC_IID,WECC_IID_utilitypv_class1_moderate_1,hybrid_pv,4804.176,7541.58463,27812.59538,0,22265.045,1987.7,5366.79,12522.51,0,7473.050812
WECC_IID,WECC_IID_utilitypv_class1_moderate_2,hybrid_pv,18468.215,7541.58463,27812.59538,0,22265.045,1987.7,5366.79,12522.51,0,7473.050812
WECC_IID,WECC_IID_utilitypv_class1_moderate_3,hybrid_pv,16219.341,7541.58463,27812.59538,0,22265.045,1987.7,5366.79,12522.51,0,7473.050812
WECC_MT,WECC_MT_utilitypv_class1_moderate_0,hybrid_pv,2843.442,7411.307737,25974.1802,0,21880.4281,1987.7,5366.79,12522.51,0,7473.050812
WECC_MT,WECC_MT_utilitypv_class1_moderate_1,hybrid_pv,5138.822,7411.307737,25974.1802,0,21880.4281,1987.7,5366.79,12522.51,0,7473.050812
WECC_MT,WECC_MT_utilitypv_class1_moderate_2,hybrid_pv,6232.148,7411.307737,25974.1802,0,21880.4281,1987.7,5366.79,12522.51,0,7473.050812
