Time_Index,EIC_utilitypv_class1_moderate_0,EIC_utilitypv_class1_moderate_1,EIC_utilitypv_class1_moderate_2,EIC_utilitypv_class1_moderate_3,EIC_utilitypv_class1_moderate_4,EIC_utilitypv_class1_moderate_5,EIC_utilitypv_class1_moderate_6,EIC_utilitypv_class1_moderate_7,EIC_utilitypv_class1_moderate_8,EIC_utilitypv_class1_moderate_9,TRE_utilitypv_class1_moderate_0,TRE_utilitypv_class1_moderate_1,TRE_utilitypv_class1_moderate_2,TRE_utilitypv_class1_moderate_3,TRE_utilitypv_class1_moderate_4,TRE_utilitypv_class1_moderate_5,TRE_utilitypv_class1_moderate_6,TRE_utilitypv_class1_moderate_7,TRE_utilitypv_class1_moderate_8,TRE_utilitypv_class1_moderate_9,WECC_utilitypv_class1_moderate_0,WECC_utilitypv_class1_moderate_1,WECC_utilitypv_class1_moderate_2,WECC_utilitypv_class1_moderate_3,WECC_utilitypv_class1_moderate_4,WECC_utilitypv_class1_moderate_5,WECC_utilitypv_class1_moderate_6,WECC_utilitypv_class1_moderate_7,WECC_utilitypv_class1_moderate_8,WECC_utilitypv_class1_moderate_9
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.096,0.0,0.082,0.044,0.0,0.005,0.099,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.213,0.402,0.225,0.36,0.303,0.178,0.197,0.387,0.326,0.072,0.16,0.235,0.16,0.218,0.155,0.215,0.164,0.159,0.128,0.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.501,0.592,0.5,0.546,0.518,0.483,0.455,0.561,0.517,0.437,0.427,0.525,0.39,0.511,0.389,0.515,0.454,0.344,0.482,0.394,0.199,0.193,0.212,0.0,0.213,0.0,0.099,0.0,0.171,0.0
12,0.664,0.711,0.66,0.667,0.645,0.664,0.612,0.661,0.632,0.627,0.591,0.691,0.564,0.676,0.554,0.689,0.616,0.498,0.675,0.545,0.477,0.424,0.49,0.118,0.481,0.004,0.363,0.0,0.406,0.0
13,0.759,0.761,0.754,0.712,0.702,0.766,0.715,0.698,0.685,0.745,0.667,0.773,0.643,0.76,0.639,0.778,0.708,0.592,0.788,0.622,0.655,0.596,0.661,0.384,0.641,0.289,0.555,0.267,0.584,0.314
14,0.799,0.762,0.788,0.714,0.724,0.809,0.754,0.709,0.7,0.788,0.693,0.803,0.669,0.791,0.664,0.826,0.761,0.638,0.838,0.669,0.753,0.689,0.751,0.547,0.722,0.463,0.678,0.467,0.677,0.49
15,0.795,0.727,0.782,0.677,0.705,0.809,0.749,0.686,0.684,0.793,0.674,0.828,0.647,0.793,0.651,0.829,0.774,0.633,0.829,0.668,0.802,0.729,0.785,0.612,0.747,0.509,0.713,0.552,0.701,0.547
16,0.742,0.651,0.724,0.604,0.631,0.765,0.671,0.613,0.614,0.749,0.606,0.794,0.588,0.778,0.614,0.783,0.735,0.595,0.775,0.646,0.808,0.724,0.769,0.633,0.725,0.535,0.718,0.598,0.674,0.549
17,0.632,0.497,0.603,0.447,0.477,0.666,0.539,0.461,0.467,0.644,0.504,0.696,0.501,0.687,0.53,0.694,0.657,0.521,0.715,0.581,0.769,0.647,0.711,0.59,0.663,0.538,0.696,0.575,0.628,0.545
18,0.438,0.235,0.402,0.18,0.229,0.484,0.315,0.198,0.227,0.459,0.35,0.528,0.352,0.526,0.386,0.535,0.516,0.376,0.574,0.434,0.681,0.505,0.603,0.51,0.563,0.52,0.601,0.534,0.516,0.517
19,0.134,0.008,0.096,0.0,0.002,0.162,0.043,0.005,0.01,0.127,0.11,0.255,0.114,0.26,0.148,0.279,0.266,0.15,0.335,0.177,0.521,0.27,0.412,0.395,0.378,0.422,0.44,0.428,0.315,0.393
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265,0.042,0.168,0.099,0.129,0.236,0.153,0.24,0.086,0.218
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.054,0.0,0.048,0.028,0.0,0.003,0.058,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.142,0.231,0.175,0.264,0.236,0.117,0.161,0.228,0.207,0.057,0.142,0.045,0.185,0.07,0.179,0.04,0.089,0.166,0.051,0.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.404,0.384,0.443,0.447,0.455,0.41,0.442,0.373,0.365,0.447,0.384,0.258,0.419,0.291,0.409,0.264,0.323,0.381,0.376,0.37,0.193,0.203,0.21,0.0,0.214,0.0,0.1,0.0,0.18,0.0
36,0.564,0.477,0.601,0.558,0.579,0.582,0.596,0.464,0.452,0.638,0.551,0.354,0.571,0.43,0.569,0.414,0.497,0.535,0.587,0.551,0.485,0.44,0.503,0.023,0.493,0.005,0.371,0.012,0.443,0.0
37,0.663,0.521,0.704,0.603,0.637,0.689,0.678,0.495,0.506,0.739,0.638,0.455,0.664,0.571,0.658,0.548,0.597,0.63,0.708,0.643,0.661,0.612,0.67,0.362,0.652,0.336,0.56,0.375,0.622,0.336
38,0.724,0.525,0.746,0.599,0.649,0.738,0.705,0.497,0.516,0.781,0.682,0.513,0.691,0.599,0.707,0.581,0.644,0.688,0.756,0.697,0.759,0.697,0.756,0.528,0.741,0.499,0.67,0.542,0.72,0.508
39,0.733,0.502,0.742,0.567,0.626,0.742,0.695,0.469,0.492,0.788,0.692,0.551,0.684,0.572,0.697,0.6,0.676,0.712,0.803,0.705,0.803,0.724,0.788,0.612,0.778,0.596,0.729,0.615,0.758,0.581
40,0.691,0.437,0.689,0.493,0.564,0.707,0.645,0.418,0.432,0.747,0.654,0.557,0.659,0.574,0.67,0.603,0.689,0.666,0.792,0.677,0.802,0.713,0.782,0.615,0.759,0.621,0.723,0.641,0.734,0.614
41,0.587,0.295,0.567,0.354,0.421,0.616,0.523,0.271,0.29,0.64,0.579,0.497,0.591,0.548,0.589,0.596,0.627,0.576,0.718,0.595,0.764,0.661,0.742,0.558,0.707,0.611,0.683,0.604,0.664,0.577
42,0.403,0.091,0.377,0.112,0.188,0.449,0.316,0.054,0.103,0.451,0.427,0.348,0.444,0.42,0.441,0.48,0.511,0.407,0.591,0.447,0.687,0.547,0.637,0.517,0.595,0.571,0.578,0.576,0.555,0.55
