Constraint,CapRes_1
t1,11.12041364309889
t2,8.605854716471338
t3,8.605721931167215
t4,8.605709007536483
t5,8.605711447843323
t6,8.605770350665983
t7,11.474834999739212
t8,11.47495001783576
t9,11.474951901376041
t10,4.848197821391234
t11,4.8481979987307975
t12,4.8481983119986625
t13,4.848197879086134
t14,4.848197731740242
t15,4.848197575590676
t16,4.848197408656142
t17,5.1431166508450215
t18,11.473464991997199
t19,11.474951710907858
t20,11.474951804192505
t21,11.47495153278099
t22,8.605700923112572
t23,11.474839932002117
t24,11.33504403469839
t25,9.508876538709131
t26,8.605609516314752
t27,8.60557759251032
t28,8.605554531826034
t29,8.60555327498836
t30,8.605594502774053
t31,8.605694517950266
t32,11.474791995093971
t33,8.605731627923467
t34,4.84818976596173
t35,4.848189900259887
t36,4.848190138199036
t37,4.848190385517534
t38,4.848190177115696
t39,4.848189935029145
t40,4.848189770136484
t41,5.143116832047511
t42,10.05431414609901
t43,11.474937646205898
t44,11.474939822966455
t45,11.474937094409942
t46,11.474820332751497
t47,10.31186966122525
t48,10.311383420426523
t49,10.962192650514128
t50,8.605720110807562
t51,8.605690895992925
t52,8.605677991685729
t53,8.605684067579714
t54,8.605708017996932
t55,10.833836596693073
t56,11.474948057914498
t57,4.848218119122215
t58,4.848194676632018
t59,4.848195063249404
t60,4.848199178546298
t61,4.8481949323342555
t62,4.8481948467334846
t63,4.848194633674055
t64,4.848194358399951
t65,4.84823051572611
t66,11.474004427001157
t67,11.474948485358393
t68,11.474950292531434
t69,11.474950993416801
t70,11.474949511245011
t71,11.474939885886002
t72,11.47489662290503
t73,8.620231054433255
t74,8.605512896841676
t75,8.60541372662047
t76,8.605357010129756
t77,8.605224486972748
t78,8.60507480325513
t79,8.605120603119396
t80,8.605477300958928
t81,4.848202076453787
t82,4.848201461944195
t83,4.848202034293319
t84,4.848204380718468
t85,4.848299891041389
t86,4.848221355713594
t87,4.848203022711964
t88,4.848201879150931
t89,4.848203440603974
t90,9.92207839330661
t91,11.474603756430579
t92,11.474911756917539
t93,11.474827462601896
t94,11.474676208274241
t95,11.474574222370421
t96,11.474441649741664
t97,6.486645859854337
t98,6.006790209042819
t99,6.00628296336344
t100,6.006277309399561
t101,6.006277263137352
t102,6.006277321171056
t103,6.006385431635283
t104,8.649345879733957
t105,4.848188076265568
t106,4.848187905358791
t107,4.848188097183443
t108,4.848188678269241
t109,4.848191114721992
t110,4.848190045188581
t111,4.848188203415241
t112,4.848187775433618
t113,4.848188178726916
t114,9.200810295561885
t115,11.474936363480488
t116,11.474841974620723
t117,8.797987728233027
t118,8.649263297069691
t119,8.492828763401373
t120,7.413095619916674
t121,4.848240676131672
t122,4.848201923328425
t123,4.848171433756227
t124,4.848167377220116
t125,4.848169869994255
t126,4.848186719206707
t127,4.848226174906624
t128,4.848176534558818
t129,4.84815865996986
t130,4.848158742760401
t131,4.848158937247478
t132,4.848159188169729
t133,4.848159340676847
t134,4.848159172111447
t135,4.848158996625761
t136,4.848158934059312
t137,4.84820381911188
t138,6.464630878349945
t139,7.9480632058845195
t140,7.754650394157827
t141,6.465319385519349
t142,6.238623548446288
t143,6.006296290470157
t144,5.689806787434136
t145,5.185632269332441
t146,5.18561612027929
t147,5.185608794018467
t148,5.185575021959418
t149,5.15799280591266
t150,5.1855721726694695
t151,6.006260213351115
t152,4.848161192580167
t153,4.848161194942439
t154,4.848161291909831
t155,4.848161414899728
t156,4.84816168914113
t157,4.848162170674713
t158,4.848162393496555
t159,4.8481618504267265
t160,4.848161487300045
t161,4.8481614714285906
t162,6.006438259139901
t163,8.43719063556936
t164,11.474854804870235
t165,8.093024450720032
t166,6.914584807483535
t167,6.006438781306051
t168,6.0062781683314
t169,4.848510569031722
t170,4.848251390681756
t171,4.848217722265429
t172,4.84819126970218
t173,4.848191798537515
t174,4.848227356429334
t175,6.006263708717733
t176,4.848169784331947
t177,4.848169023542101
t178,4.848169281110876
t179,4.848169589755078
t180,4.848169972590581
t181,4.848170223310577
t182,4.8481700176725
t183,4.848169711714157
t184,4.848169550459041
t185,4.848170797430349
t186,6.462944236860035
t187,6.464751648519192
t188,7.732082431269127
t189,6.464753199769235
t190,6.208944814376112
t191,6.168548260221367
t192,5.5007169092919845
t193,5.021731994036159
t194,5.021641360084113
t195,5.021619017028784
t196,5.021549125688036
t197,5.021436359054328
t198,5.021612117182372
t199,4.84890552589522
t200,4.848159872458298
t201,4.848160132151675
t202,4.848160730759864
t203,4.8481619914443375
t204,4.8481658227385225
t205,4.848178299816071
t206,4.848187855457569
t207,4.84816696847306
t208,4.848162344857042
t209,4.848161766086432
t210,5.144274273070153
t211,10.760248316414327
t212,11.474843923986276
t213,10.760416541881957
t214,10.714875993712086
t215,10.062676703013906
t216,9.99657490232341
t217,11.002800465125741
t218,8.605605001802292
t219,8.330583740484597
t220,6.0063581309759355
t221,6.006274312277089
t222,6.0062746625860814
t223,4.848198811018132
t224,4.848161026808622
t225,4.848161089310123
t226,4.848161283855371
t227,4.848161589541008
t228,4.848162443651592
t229,4.848164822387705
t230,4.848164785247187
t231,4.848163265245054
t232,4.848161987805785
t233,4.8481619505567695
t234,11.474816228219785
t235,11.474929153645991
t236,11.474928907191163
t237,11.474926090461429
t238,11.474903650233411
t239,11.474850767882037
t240,11.37065793488107
t241,8.605631159728935
t242,7.68155192331025
t243,6.006284250549516
t244,6.006270380036095
t245,6.006269998045416
t246,6.00627076115372
t247,4.848162182134482
t248,4.848161729686918
t249,4.848161853899687
t250,4.848161991390402
t251,4.848162286447305
t252,4.848163349370847
t253,4.848164530973983
t254,4.848164265213637
t255,4.848163100574891
t256,4.848162402463309
t257,4.848162340937638
t258,11.474911973601658
t259,11.474935367214478
t260,11.474935170644631
t261,11.474934378264617
t262,11.47492958866128
t263,11.474895092949884
t264,11.363028362137008
t265,11.334298651063241
t266,8.605636144640917
t267,6.006305289743031
t268,6.006268062317723
t269,6.006267014042379
t270,6.006271202084586
t271,4.84816251391749
t272,4.848160004549209
t273,4.8481601081459775
t274,4.848160268726732
t275,4.84816092975641
t276,4.848163236663763
t277,4.8481659852355214
t278,4.8481727883191486
t279,4.848170661902828
t280,4.848161795380258
t281,4.848163891531242
t282,11.474927996897602
t283,11.474929586693456
t284,11.474929285018684
t285,11.474928341438646
t286,11.474924906950356
t287,11.474897041945203
t288,11.474737272178226
t289,11.399866757633983
t290,10.866310756015835
t291,8.605672785912565
t292,8.605624230391575
t293,8.605551791978222
t294,8.605593839391508
t295,4.848242000013722
t296,4.848164737769084
t297,4.848164762380786
t298,4.848164959763498
t299,4.848165771697129
t300,4.84816786131438
t301,4.848234369007133
t302,5.143041562308016
t303,4.848892082731691
t304,4.848174682419609
t305,5.198367447693857
t306,11.474935514071031
t307,11.474935471094907
t308,11.474934883329844
t309,11.474933961935783
t310,11.474932344681495
t311,11.474927442189838
t312,11.474900605212225
t313,11.400079649925404
t314,8.606839439700435
t315,8.605684928684887
t316,8.60559829743865
t317,7.711540589911333
t318,7.711506193600881
t319,4.848166791710698
t320,4.848166856232343
t321,4.848166920693334
t322,4.848167098956531
t323,4.848167230894539
t324,4.848167575939925
t325,4.848170277338728
t326,4.8481747975012315
t327,4.848168144060546
t328,4.848167489542349
t329,4.848180913192342
t330,11.47493603902134
t331,11.474936012158064
t332,11.474936016975066
t333,11.474935551547098
t334,11.47493480260641
