Constraint,CapRes_1
t335,11.474931244587687
t336,11.474912809555834
t337,11.432061790603743
t338,10.906665845820244
t339,8.605768597403415
t340,8.605319915956661
t341,8.604934686799
t342,8.605234657890074
t343,4.8486834327952595
t344,4.848174350519439
t345,4.848170694887582
t346,4.8481698093966985
t347,4.848170661680003
t348,4.848171885747796
t349,4.848173855332742
t350,4.848195179883359
t351,4.848284070126296
t352,4.848204961430039
t353,11.47410476006881
t354,11.474924106877245
t355,11.474930168650406
t356,11.474925505450726
t357,11.474916336807047
t358,11.474900638601751
t359,11.474855744913308
t360,11.474710169162153
t361,11.4749149530133
t362,11.009494514989958
t363,8.605707538503353
t364,8.605697492881097
t365,8.605696366181471
t366,8.60569765820253
t367,10.919488059387936
t368,4.848167149155956
t369,4.848167032984648
t370,4.848167060406244
t371,4.848167148993057
t372,4.848167075894354
t373,4.848167030804761
t374,4.848167272453666
t375,4.84816823240381
t376,4.848167223758668
t377,5.14311211111036
t378,11.113241362016732
t379,11.47493868479868
t380,11.474939762277947
t381,11.474940362334868
t382,11.474940026964079
t383,11.474938864886306
t384,11.474934393622418
t385,7.972063780270284
t386,6.763556165230743
t387,6.0062718664351
t388,6.006263327494571
t389,6.006254444091697
t390,6.0062587344896
t391,6.006309745130547
t392,4.848166244295012
t393,4.848166327466833
t394,4.848166367478848
t395,4.84816639819436
t396,4.848166441210104
t397,4.84816639090012
t398,4.848166131790246
t399,4.8481654427511565
t400,4.848166181220343
t401,4.848165929869702
t402,6.006263797910932
t403,6.006113821833406
t404,4.848166377099512
t405,8.008819638538784
t406,11.474924663341247
t407,8.327969921184767
t408,8.00882547046226
t409,5.729362437480915
t410,4.848436833655824
t411,4.848183597551297
t412,4.848175929061079
t413,4.848171320189609
t414,4.848178501417025
t415,4.848174047503521
t416,4.848167523741811
t417,4.848166461828124
t418,4.848168912782084
t419,4.848170061143737
t420,4.848170660603933
t421,4.848172713716504
t422,4.848172804808036
t423,4.848172005197306
t424,4.848172606705757
t425,4.848179503626321
t426,5.1431435229537525
t427,4.874809656445424
t428,6.4657896614769355
t429,11.474752729297707
t430,7.874801042218029
t431,6.466871829698585
t432,4.848218622924307
t433,4.848286401453432
t434,4.848279519098587
t435,4.8481770129631805
t436,4.848166770899006
t437,4.848170013955227
t438,4.848237665035714
t439,4.848283296422767
t440,6.00627708827074
t441,4.848172761860496
t442,4.84817284584112
t443,4.84817294035923
t444,4.848173013414329
t445,4.848173066623982
t446,4.848173069991801
t447,4.848173051728587
t448,4.848173045793521
t449,5.143108392446063
t450,7.7796173660810215
t451,11.47492573029401
t452,7.780075785899507
t453,6.464809967817118
t454,6.271708567335012
t455,6.006285759458277
t456,4.849792476305589
t457,5.245869475167737
t458,5.245814895919439
t459,5.2456483306745865
t460,5.1354766279234845
t461,5.134816997304814
t462,5.135305099052152
t463,5.245824001516486
t464,6.006304535429999
t465,4.848173543504928
t466,4.848173793060316
t467,4.848173895072956
t468,4.848174046873834
t469,4.84817417483062
t470,4.84817420360386
t471,4.848174131115894
t472,4.848174005470305
t473,4.848175669079056
t474,11.474375526952935
t475,11.474928589463277
t476,11.47484861198418
t477,7.210874567600928
t478,6.9946877176809386
t479,6.7672125920080735
t480,5.275463330530771
t481,5.726724369196723
t482,4.848268339395341
t483,4.84822837867161
t484,4.848189629136174
t485,4.848184121475991
t486,4.848185264237771
t487,4.848199652087304
t488,4.848230699664691
t489,4.848170681909667
t490,4.8481716285416665
t491,4.848172032430288
t492,4.848172225787915
t493,4.8481721669157585
t494,4.848171979128229
t495,4.8481718999827415
t496,4.848171683909635
t497,4.848171572201986
t498,5.143111888664203
t499,6.464663180841106
t500,7.780179422975912
t501,7.779947723275658
t502,6.524058607491498
t503,6.464660780283809
t504,6.00629387493765
t505,4.848159292497986
t506,4.848159341812398
t507,4.848159378175222
t508,4.848159435548038
t509,4.848159577563644
t510,4.848160051010026
t511,4.848162018178289
t512,5.728203133719253
t513,4.848176995743791
t514,4.848178033913398
t515,4.848178893520085
t516,4.848179337077856
t517,4.848179390134541
t518,4.848179472850451
t519,4.848179238723582
t520,4.84817907737593
t521,4.848182540386306
t522,6.464200280747917
t523,6.207928905300939
t524,4.8481624573013065
t525,4.8481602199565685
t526,4.848160165557872
t527,4.8481599094474435
t528,4.848160017603075
t529,4.848158195121541
t530,4.848158135309618
t531,4.848158379017568
t532,4.848158619444787
t533,4.848158683841975
t534,4.848158931202185
t535,4.8481590867438715
t536,4.848159286167357
t537,4.8481595522772745
t538,4.848159618702736
t539,4.848159537461422
t540,4.848160123154221
t541,4.848180632963311
t542,4.848160443304228
t543,4.848177225959802
t544,4.8481772973842485
t545,5.142877058973873
t546,6.312026203474629
t547,4.848161910990821
t548,4.848160075746828
t549,4.848159565939747
t550,4.848160166889349
t551,4.848159006910216
t552,4.848158548894007
t553,4.848160951982096
t554,4.848160590418066
t555,4.8481606921739955
t556,4.848160765641214
t557,4.848160377317996
t558,4.848160571148586
t559,4.848160804415977
t560,4.8481621151737295
t561,4.848161148616243
t562,4.848180903731985
t563,4.8481821657352615
t564,4.848182498328168
t565,4.848182717012096
t566,4.848182713206068
t567,4.848182477206948
t568,4.84818224293799
t569,4.848187935310646
t570,6.464766710230056
t571,11.473519761947102
t572,11.47352385077961
t573,6.46484995284967
t574,11.47317416839835
t575,7.609595651194083
t576,6.464819468721732
t577,4.848168359549031
t578,4.84816500464712
t579,4.848164588226816
t580,4.8481617751076715
t581,4.848161552285637
t582,4.8481624059279325
t583,4.848163990536366
t584,4.848190325835539
t585,4.848183377809114
t586,4.848184736512073
t587,4.848185411759128
t588,4.848186703559502
t589,4.848187312129158
t590,4.8481872215305675
t591,4.848186422032428
t592,4.848186064043185
t593,8.298761664502017
t594,11.47492699657354
t595,11.47492777232776
t596,11.474140519755338
t597,11.47491366130328
t598,8.359060852102523
t599,8.29890144363689
t600,8.298506379554508
t601,6.485326449518395
t602,6.482845683171231
t603,6.006298032893804
t604,6.006286570683892
t605,6.00628446003171
t606,6.00628631150273
t607,6.485193219783093
t608,7.483674415118638
t609,10.015909930250901
t610,4.848195460060481
t611,4.848192583954745
t612,4.848192624890184
t613,4.848192693163269
t614,4.848192729464466
t615,4.848192695169843
t616,4.848192924708162
t617,11.474335538345704
t618,11.474927677073374
t619,11.474928738395574
t620,11.474897298611511
t621,8.649260804687861
t622,8.647629178335768
t623,6.485346050955445
t624,4.848180577032361
t625,7.6135045772599055
t626,7.377853436409167
t627,7.137882076173011
t628,6.006303220915331
t629,6.006279799079066
t630,6.006277743304089
t631,6.006278481595823
t632,6.006280169914884
t633,6.006279516447763
t634,4.84818558992648
t635,4.848185941294344
t636,4.848186172836243
t637,4.848186284586684
t638,4.8481862741169675
t639,4.848186272967325
t640,4.848186276246128
t641,5.143169472713879
t642,9.837735002109842
t643,11.474932761056802
t644,11.474935550465828
t645,11.474918913249004
t646,9.83835097643908
t647,9.837735019372763
t648,9.837661848039279
t649,7.12116016113265
t650,6.368100997472425
t651,6.0062992934294614
t652,6.0062880550455136
t653,6.006287582941991
t654,6.006289048110772
t655,6.006335057003746
t656,6.3692310103095044
t657,8.492898923407799
t658,4.848186596442054
t659,4.848186767077706
t660,4.848186941182951
t661,4.848187127054781
t662,4.8481870298606875
t663,4.848186876403451
t664,4.848186742805917
t665,8.49279017872441
t666,11.4749392087609
t667,11.474939549685342
t668,4.848173896619132
t669,11.474912205570774
t670,8.49287411793313
t671,8.492769071055339
t672,8.395916235582066
t673,11.474378558488088
t674,10.938678724395862
t675,8.605824659028874
t676,8.605665306341963
t677,8.605636451050731
t678,8.605611430119653
t679,8.605625657726817
t680,8.605650286895829
t681,8.605719901448447
t682,4.84817863371675
t683,4.848177429418279
t684,4.848177811053512
t685,4.848177956417465
t686,4.848177753378516
t687,4.848177811111184
t688,4.848224826721073
t689,11.419108991322496
t690,11.474864336429267
t691,11.47492633928936
t692,11.474927864731427
t693,11.474925581557505
t694,11.474917577514898
t695,11.474891281213608
t696,11.474834055576999
t697,11.47487604604942
t698,11.474785171507103
t699,11.474575036774194
t700,11.474192136173869
t701,11.473887989909302
t702,11.473655606953939
t703,11.47363216526057
t704,4.848312513699866
t705,11.474845208288045
t706,4.848221652862786
t707,4.848198062624582
t708,4.84819895111417
t709,4.8481995311240595
t710,4.848199604117333
t711,4.848208658348982
t712,5.143113329572885
t713,11.474782586025864
t714,11.47491871445446
t715,11.4749366408013
t716,11.474936013605221
t717,11.474935760049693
t718,11.474932557330856
t719,11.47492544948243
t720,11.47490823452437
