Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
2000.0,1.0,1.0,1.0,2000.0,30.0,24.0,240.0,1,505130.0,58625.0,150100.0
,2.0,0.9,0.04,1800.0,,,408.0,2,489713.0,55310.0,136835.0
,3.0,0.55,0.024,1100.0,,,216.0,3,482929.0,53838.0,127398.0
,4.0,0.2,0.003,400.0,,,120.0,4,485179.0,53162.0,121581.0
,,,,,,,264.0,5,498790.0,53726.0,118686.0
,,,,,,,312.0,6,536364.0,55350.0,117286.0
,,,,,,,528.0,7,613453.0,61135.0,119469.0
,,,,,,,168.0,8,670738.0,71229.0,125601.0
,,,,,,,144.0,9,663240.0,76173.0,140220.0
,,,,,,,312.0,10,629823.0,73664.0,158875.0
,,,,,,,600.0,11,602401.0,70509.0,166899.0
,,,,,,,384.0,12,590994.0,68797.0,163941.0
,,,,,,,168.0,13,587740.0,68824.0,160575.0
,,,,,,,576.0,14,581252.0,68937.0,162930.0
,,,,,,,24.0,15,581017.0,68499.0,165947.0
,,,,,,,888.0,16,606728.0,68923.0,168509.0
,,,,,,,672.0,17,665848.0,72219.0,170038.0
,,,,,,,24.0,18,745993.0,76764.0,177325.0
,,,,,,,576.0,19,751850.0,82874.0,193215.0
,,,,,,,264.0,20,691146.0,83000.0,214172.0
,,,,,,,192.0,21,644039.0,74905.0,227001.0
,,,,,,,264.0,22,567509.0,71175.0,204213.0
,,,,,,,24.0,23,519952.0,67004.0,178676.0
,,,,,,,240.0,24,486659.0,61396.0,166328.0
,,,,,,,144.0,25,435026.0,60514.0,155108.0
,,,,,,,312.0,26,420311.0,57191.0,141549.0
,,,,,,,312.0,27,413198.0,55189.0,132728.0
,,,,,,,216.0,28,415133.0,54339.0,127224.0
,,,,,,,144.0,29,427023.0,54686.0,124792.0
,,,,,,,24.0,30,462614.0,56243.0,123981.0
,,,,,,,,31,528445.0,61908.0,126461.0
,,,,,,,,32,587987.0,74155.0,133510.0
,,,,,,,,33,593661.0,79083.0,150399.0
,,,,,,,,34,576435.0,77214.0,170994.0
,,,,,,,,35,563948.0,75576.0,179450.0
,,,,,,,,36,559736.0,75219.0,174798.0
,,,,,,,,37,561560.0,76262.0,168710.0
,,,,,,,,38,559179.0,76858.0,168786.0
,,,,,,,,39,560139.0,76657.0,171254.0
,,,,,,,,40,586170.0,77376.0,172726.0
,,,,,,,,41,640340.0,81445.0,173745.0
,,,,,,,,42,709047.0,87123.0,180657.0
,,,,,,,,43,710558.0,94152.0,197627.0
,,,,,,,,44,649021.0,93684.0,219625.0
,,,,,,,,45,601795.0,84331.0,234186.0
,,,,,,,,46,533291.0,79964.0,211791.0
,,,,,,,,47,486146.0,74741.0,186071.0
,,,,,,,,48,453721.0,68153.0,173524.0
,,,,,,,,49,445922.0,59509.0,168139.0
,,,,,,,,50,431621.0,57127.0,153450.0
,,,,,,,,51,425691.0,55837.0,143607.0
,,,,,,,,52,428723.0,55433.0,137490.0
,,,,,,,,53,441845.0,56427.0,134878.0
,,,,,,,,54,479939.0,58459.0,134066.0
,,,,,,,,55,553909.0,65143.0,136634.0
,,,,,,,,56,622692.0,77867.0,144038.0
,,,,,,,,57,635214.0,83034.0,162044.0
,,,,,,,,58,621120.0,80156.0,184748.0
,,,,,,,,59,609537.0,76187.0,191709.0
,,,,,,,,60,604262.0,73550.0,187507.0
,,,,,,,,61,608021.0,72336.0,181695.0
,,,,,,,,62,606610.0,71390.0,182136.0
,,,,,,,,63,609510.0,69966.0,184137.0
,,,,,,,,64,639716.0,69629.0,185471.0
,,,,,,,,65,700223.0,72609.0,185976.0
,,,,,,,,66,778567.0,77688.0,193288.0
,,,,,,,,67,785104.0,83735.0,210485.0
,,,,,,,,68,725209.0,85749.0,231510.0
,,,,,,,,69,677120.0,78348.0,244388.0
,,,,,,,,70,609345.0,75018.0,220199.0
,,,,,,,,71,556887.0,70847.0,193096.0
,,,,,,,,72,521384.0,64721.0,179689.0
,,,,,,,,73,452214.0,56047.0,156720.0
,,,,,,,,74,441398.0,55716.0,145035.0
,,,,,,,,75,432096.0,52935.0,140180.0
,,,,,,,,76,432626.0,52232.0,140414.0
,,,,,,,,77,435518.0,52061.0,134266.0
,,,,,,,,78,452020.0,52293.0,133645.0
,,,,,,,,79,481037.0,54969.0,133444.0
,,,,,,,,80,501193.0,59465.0,136271.0
,,,,,,,,81,515191.0,62966.0,143505.0
,,,,,,,,82,527628.0,66173.0,152881.0
,,,,,,,,83,539444.0,68968.0,158172.0
,,,,,,,,84,546993.0,70514.0,165197.0
,,,,,,,,85,559616.0,71842.0,172289.0
,,,,,,,,86,559879.0,72997.0,178130.0
,,,,,,,,87,556780.0,71864.0,182708.0
,,,,,,,,88,559499.0,71110.0,186061.0
,,,,,,,,89,575764.0,71264.0,185488.0
,,,,,,,,90,596202.0,73014.0,185685.0
,,,,,,,,91,625572.0,73402.0,189077.0
,,,,,,,,92,639160.0,81836.0,194161.0
,,,,,,,,93,621627.0,83291.0,201910.0
,,,,,,,,94,595764.0,81129.0,210984.0
,,,,,,,,95,562041.0,77849.0,205177.0
,,,,,,,,96,520967.0,72898.0,194604.0
,,,,,,,,97,441540.0,57534.0,179833.0
,,,,,,,,98,412631.0,48887.0,161396.0
,,,,,,,,99,406287.0,46340.0,141069.0
,,,,,,,,100,408532.0,45060.0,124299.0
,,,,,,,,101,422011.0,45113.0,121908.0
,,,,,,,,102,458124.0,46157.0,121847.0
,,,,,,,,103,524355.0,50870.0,124589.0
,,,,,,,,104,578273.0,59394.0,131847.0
,,,,,,,,105,584646.0,64088.0,148528.0
,,,,,,,,106,569625.0,63871.0,169008.0
,,,,,,,,107,559408.0,63631.0,177939.0
,,,,,,,,108,556655.0,64688.0,174644.0
,,,,,,,,109,558414.0,66049.0,169486.0
,,,,,,,,110,555247.0,66917.0,169908.0
,,,,,,,,111,555921.0,66950.0,171483.0
,,,,,,,,112,576971.0,67850.0,172637.0
,,,,,,,,113,617515.0,71282.0,172777.0
,,,,,,,,114,667797.0,75940.0,179858.0
,,,,,,,,115,676809.0,80230.0,194673.0
,,,,,,,,116,631304.0,78821.0,211791.0
,,,,,,,,117,586218.0,72750.0,222570.0
,,,,,,,,118,520171.0,68559.0,208853.0
,,,,,,,,119,473690.0,64145.0,185361.0
,,,,,,,,120,441706.0,58292.0,173527.0
,,,,,,,,121,355968.0,53216.0,153522.0
,,,,,,,,122,341279.0,50176.0,139253.0
,,,,,,,,123,333453.0,48405.0,129875.0
,,,,,,,,124,335461.0,47355.0,122987.0
,,,,,,,,125,347366.0,47746.0,119577.0
,,,,,,,,126,377416.0,49695.0,118339.0
,,,,,,,,127,429821.0,54215.0,120909.0
,,,,,,,,128,469869.0,58719.0,127795.0
,,,,,,,,129,477916.0,61431.0,141928.0
,,,,,,,,130,479595.0,63505.0,159589.0
,,,,,,,,131,488960.0,65116.0,168407.0
,,,,,,,,132,502758.0,67278.0,166595.0
,,,,,,,,133,518512.0,69372.0,163930.0
,,,,,,,,134,526930.0,71670.0,166872.0
,,,,,,,,135,536098.0,72416.0,171222.0
,,,,,,,,136,562938.0,73928.0,174146.0
,,,,,,,,137,601523.0,78100.0,175711.0
,,,,,,,,138,634658.0,82693.0,183455.0
,,,,,,,,139,612196.0,85488.0,199148.0
,,,,,,,,140,560308.0,80300.0,215271.0
,,,,,,,,141,521868.0,73428.0,219176.0
,,,,,,,,142,470093.0,68577.0,197801.0
,,,,,,,,143,421815.0,63436.0,176357.0
,,,,,,,,144,384685.0,57412.0,164885.0
,,,,,,,,145,364884.0,53898.0,145314.0
,,,,,,,,146,350871.0,51195.0,131913.0
,,,,,,,,147,342306.0,49543.0,122715.0
,,,,,,,,148,343188.0,48497.0,117224.0
,,,,,,,,149,353806.0,49051.0,114070.0
,,,,,,,,150,382112.0,51734.0,112645.0
,,,,,,,,151,433701.0,58453.0,115367.0
,,,,,,,,152,475651.0,62457.0,122076.0
,,,,,,,,153,491011.0,64179.0,135252.0
,,,,,,,,154,494235.0,65752.0,150447.0
,,,,,,,,155,504276.0,66466.0,158731.0
,,,,,,,,156,522441.0,68090.0,158771.0
,,,,,,,,157,540075.0,70797.0,156930.0
,,,,,,,,158,549667.0,73956.0,160597.0
,,,,,,,,159,559537.0,76180.0,165112.0
,,,,,,,,160,588341.0,79831.0,168052.0
,,,,,,,,161,628617.0,86461.0,169962.0
,,,,,,,,162,658940.0,92483.0,177404.0
,,,,,,,,163,630979.0,95355.0,192777.0
,,,,,,,,164,567071.0,87816.0,209277.0
,,,,,,,,165,529802.0,79837.0,212457.0
,,,,,,,,166,477459.0,73662.0,191315.0
,,,,,,,,167,427940.0,66607.0,170783.0
,,,,,,,,168,389564.0,58858.0,161230.0
,,,,,,,,169,373039.0,56009.0,143549.0
,,,,,,,,170,361788.0,52966.0,129559.0
,,,,,,,,171,356914.0,51047.0,119926.0
,,,,,,,,172,361073.0,49716.0,114433.0
,,,,,,,,173,375322.0,50258.0,111546.0
,,,,,,,,174,407605.0,52858.0,110344.0
,,,,,,,,175,459641.0,59223.0,113233.0
,,,,,,,,176,496764.0,63332.0,119821.0
,,,,,,,,177,502822.0,66164.0,132180.0
,,,,,,,,178,495749.0,69047.0,148311.0
,,,,,,,,179,494605.0,70436.0,157108.0
,,,,,,,,180,502475.0,72456.0,156665.0
,,,,,,,,181,512128.0,75174.0,154005.0
,,,,,,,,182,515427.0,78406.0,157250.0
,,,,,,,,183,522050.0,79923.0,161284.0
,,,,,,,,184,546750.0,82040.0,163284.0
,,,,,,,,185,584663.0,87120.0,165500.0
,,,,,,,,186,613727.0,91983.0,171719.0
,,,,,,,,187,589699.0,94136.0,186732.0
,,,,,,,,188,531227.0,86810.0,201073.0
,,,,,,,,189,499109.0,79075.0,203545.0
,,,,,,,,190,455274.0,74132.0,182395.0
,,,,,,,,191,413820.0,68876.0,162009.0
,,,,,,,,192,381683.0,63025.0,154000.0
,,,,,,,,193,363956.0,60290.0,143262.0
,,,,,,,,194,349272.0,56184.0,129444.0
,,,,,,,,195,341291.0,53734.0,120216.0
,,,,,,,,196,343044.0,52136.0,113851.0
,,,,,,,,197,354285.0,52194.0,109352.0
,,,,,,,,198,384600.0,54426.0,107047.0
,,,,,,,,199,434371.0,60439.0,108640.0
,,,,,,,,200,477160.0,63555.0,113805.0
,,,,,,,,201,493107.0,67104.0,125480.0
,,,,,,,,202,497171.0,70573.0,140611.0
,,,,,,,,203,504792.0,73310.0,151776.0
,,,,,,,,204,520501.0,76872.0,154255.0
,,,,,,,,205,537267.0,81698.0,153986.0
,,,,,,,,206,546743.0,86747.0,159497.0
,,,,,,,,207,558066.0,89798.0,164933.0
